uidA,uidB
P12524,Q92538
P31749,Q5T7N2
P16442,P29474
P0DPD6,P12931
P05997,Q9GZQ8
O75525,P35354
P10451,Q6DHY5
A0A1W2PQ27,P07333
P06401,P0C7M4
P02818,Q8N9I9
P04004,Q01892
H3BMG3,P19838
A8MW95,P02818
P12643,Q96JL9
P05412,Q6UWV6
P43235,Q9BXP2
P12643,Q02535
P23528,P25940
P29474,Q7RTT4
P05412,Q96LR9
P29474,Q9NSI8
P06401,P15421
P34972,Q9Y3A6
P43235,Q9P104
A0A0A0MTA4,P18075
P02751,P24468
Q04206,Q86Y97
P02452,Q5PR19
P04198,P13569
P25940,Q8IYL9
A6NET4,P01106
P03372,Q96EU7
O14647,Q9Y4K3
P01258,Q8WVV9
O95007,P02818
O15303,P01106
O75969,P02452
P02452,Q9H0I9
O14815,P12643
P04629,Q5T890
O75608,P01258
P04637,Q8NEX6
P41214,Q16539
P12643,Q86WC6
P28482,Q13370
P02452,Q6ZMD2
H3BMG3,Q9BQB4
P10275,Q12931
O15226,Q04206
P23219,Q9P2X0
P07333,P43005
P02818,Q12906
P34972,Q9Y6M4
P10451,Q9BVG3
P02452,Q9Y5S8
P12643,Q9NV72
B3KU38,Q9BQB4
P43235,Q92794
P02818,Q9C026
P04004,P11245
P03372,Q53HC9
P23219,Q5W186
A9QM74,P35354
P05997,P13995
P41180,Q5JU69
P01258,Q8TF72
O95155,P04198
P35354,Q8IXH8
P35354,Q7Z429
Q8NAA6,Q9BQB4
P01258,Q06495
A6NCI8,Q9BQB4
P04198,Q5M9Q1
P12524,Q15053
P04637,P49641
P06401,Q9BZF3
Q16539,Q9HD40
O00559,P12643
A6NEY8,P02452
O15047,P04198
P04003,P12524
P04629,Q56A73
P07711,Q9Y4K3
P28482,Q9UJT0
P01258,P35226
P10451,P49916
P07333,Q15061
Q9BQB4,Q9H5Z1
P02452,Q9UN88
O00526,P19838
O60565,P04629
P0CI00,P10451
P05997,Q14116
P41180,Q8NGL0
Q9BVW5,Q9Y4K3
P23219,Q13951
O14788,Q8N2Y8
P12931,Q8NEQ6
P04637,P31641
Q9UNN8,Q9Y5R2
P10275,Q15652
P31749,Q9UBC5
P16278,P42574
P10275,Q9Y5I2
P01258,Q10713
P12931,Q8IYA7
O00399,P29474
P10415,Q969H4
P04629,Q9NXR5
P05412,Q96S15
P08962,Q9UNN8
Q02742,Q9Y4K3
A0A0B4J264,P03372
P02818,Q8IUB2
P28482,Q9NWR8
P01258,Q9GZP7
Q8IZC6,Q9UNN8
P01106,P40313
P29474,Q8NGF3
P40763,Q16539
P04629,P26196
O14788,Q8NFZ3
P02751,Q6IN85
P07333,P57772
P01258,P61009
P18075,Q6ZQN5
P02818,P51957
P12931,P49683
P12524,Q99638
A8K8P3,P12524
P03372,Q9H4K1
P23219,Q04756
P25940,Q9NZE8
P05412,Q8NEN9
P05412,Q9UNG2
P10275,Q5TCQ9
A0A1B0GU33,P35354
P06401,Q8N6C5
P42574,Q460N3
P03372,Q8IWL8
P06401,Q15466
P49841,Q6ZV77
P05412,Q86XX4
P19838,Q6ZST4
P04629,Q9UM44
P17036,P42574
P43235,Q86SY8
P12524,Q8NBL1
O60524,P08123
Q16539,Q9Y5U5
P34972,Q9H4A4
P20908,Q9BZ67
P25940,Q9UIJ5
P18075,Q8WWM9
P10828,P28482
P0CG01,Q9Y4K3
P34972,Q93084
P12643,Q9NP56
O43506,P05997
P04637,P80370
P04629,Q9NWM0
A6NNY8,P10415
P05997,Q96CW1
Q9BQB4,Q9Y566
P18075,Q9P2H5
P02751,P80723
P05997,Q8N465
Q13868,Q9BQB4
P12931,Q6ZRN7
Q9P2X3,Q9UNN8
P41180,Q7Z7N9
P41180,Q8N635
P43235,Q6PEY0
P12931,Q6FI81
P12931,Q8TCU6
O15537,P20908
P28482,Q9H2J4
P10632,P12643
P41180,Q7Z2T5
Q15118,Q9Y4K3
P41180,Q8N5J2
P43235,Q8IW92
P10415,Q6ZUK4
A0A096LP49,P20908
P05997,Q15884
P07333,P0DP72
P10451,Q2M329
P13569,P43235
P25940,Q9UJA3
O95571,P41180
P12524,P58180
P58304,Q9BQB4
P07333,Q969G9
A6NHR8,P08123
P02751,Q9BWX5
O14904,P10415
P01106,P12318
P04637,Q15382
O14788,Q96J42
P07333,Q09327
P18075,Q16678
P12931,Q96AE7
P12524,Q8WX93
P10275,Q9Y2F9
P02818,Q9H0C2
P06401,P11802
