uidA,uidB,method,Host_organism_taxid,numParticipants
L7RTG7,Q06124,"psi-mi:""MI:0012""(bioluminescence resonance energy transfer)",taxid:9606(Homo sapiens),2
Q6ZW61,A0A024R687,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
Q6ZW61,A0A024R687,"psi-mi:""MI:0676""(tandem affinity purification)",taxid:9606(Homo sapiens),2
L7RTG7,Q06124,"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)",taxid:9606(Homo sapiens),2
Q9Y2I6,Q8N157,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
Q9H1K1,P31947,"psi-mi:""MI:0676""(tandem affinity purification)",taxid:9606(Homo sapiens),2
Q9H1K1,P31947,"psi-mi:""MI:0676""(tandem affinity purification)",taxid:9606(Homo sapiens),2
L7RXH0,Q9BSE5,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
Q8N386,Q96AP0,"psi-mi:""MI:0096""(pull down)",taxid:9606(Homo sapiens),2
Q8N386,Q96AP0,"psi-mi:""MI:0809""(bimolecular fluorescence complementation)",taxid:9606(Homo sapiens),2
Q9Y616,Q9Y616,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
O60333,P61981,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P05204,Q96CP6,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
Q9UEW8,Q9BVC5,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
Q99941,P18850,"psi-mi:""MI:0364""(inferred by curator)",taxid:9606(Homo sapiens),2
P11142,A0A024QZU1,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
O43815,A0A024R8D6,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
A5PL27,P02788,"psi-mi:""MI:0071""(molecular sieving)",taxid:9606(Homo sapiens),2
A5PL27,P02788,"psi-mi:""MI:0413""(electrophoretic mobility shift assay)",taxid:9606(Homo sapiens),2
Q96JN8,Q8N137,"psi-mi:""MI:0416""(fluorescence microscopy)",taxid:9606(Homo sapiens),2
