uidA,uidB,Predicted Classes,Probability Score,Regression Value,mean_prob_aff,stringdb_check,score_norm,uidA_irefindex,uidB_irefindex,method,Host_organism_taxid,numParticipants,irefindex_check,GeneA,GeneB,OP_A,OP_B,OP_check
P01106,P25789,1,0.551219512,0.40163313,0.476426321,0,,,,,,,0,MYC,PSMA4,1,0,1
P01258,Q14050,1,0.551219512,0.401632989,0.476426251,0,,,,,,,0,CALCA,COL9A3,1,0,1
O43895,P29474,1,0.551219512,0.401632959,0.476426236,0,,,,,,,0,XPNPEP2,NOS3,0,1,1
P01701,Q9BQB4,1,0.52195122,0.401633112,0.461792166,0,,,,,,,0,IGLV1-51,SOST,0,1,1
P04198,Q9UJK0,1,0.551219512,0.40163309,0.476426301,0,,,,,,,0,MYCN,TSR3,1,0,1
P18075,Q9BQN1,1,0.551219512,0.401632929,0.47642622,0,,,,,,,0,BMP7,FAM83C,1,0,1
Q04206,Q8NGJ6,1,0.551219512,0.401632969,0.476426241,0,,,,,,,0,RELA,OR51A4,1,0,1
P31749,Q2TBA0,1,0.526829268,0.40163327,0.464231269,0,,,,,,,0,AKT1,KLHL40,1,0,1
P02461,Q99952,1,0.551219512,0.401633008,0.47642626,0,,,,,,,0,COL3A1,PTPN18,1,0,1
P06746,Q04206,1,0.526829268,0.401633168,0.464231218,0,,,,,,,0,POLB,RELA,0,1,1
P02452,Q8WVV4,1,0.52195122,0.401681239,0.461816229,0,,,,,,,0,COL1A1,POF1B,1,0,1
P12429,Q9Y4K3,1,0.551219512,0.401633091,0.476426301,0,,,,,,,0,ANXA3,TRAF6,0,1,1
P08123,Q99457,1,0.551219512,0.401633051,0.476426282,0,,,,,,,0,COL1A2,NAP1L3,1,0,1
A0A3B3IU46,P12524,1,0.526829268,0.401633097,0.464231183,0,,,,,,,0,RAMACL,MYCL,0,1,1
O15520,P04637,1,0.551219512,0.401633124,0.476426318,0,,,,,,,0,FGF10,TP53,0,1,1
P35226,Q04206,1,0.551219512,0.401632932,0.476426222,1,0.113074205,,,,,,0,BMI1,RELA,0,1,1
