Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
MIRNA:hsa-mir-4464~hsa-mir-4464,hsa-mir-4464,hsa-mir-4464,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,29,26.620689655172413,0.04202208624826107
MIRNA:hsa-mir-217~hsa-mir-217,hsa-mir-217,hsa-mir-217,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,34,22.705882352941178,0.04202208624826107
MIRNA:hsa-let-7g~hsa-let-7g,hsa-let-7g,hsa-let-7g,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,42,18.38095238095238,0.04202208624826107
MIRNA:hsa-mir-3908~hsa-mir-3908,hsa-mir-3908,hsa-mir-3908,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,27,28.59259259259259,0.04202208624826107
MIRNA:hsa-mir-1265~hsa-mir-1265,hsa-mir-1265,hsa-mir-1265,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,22,35.09090909090909,0.04202208624826107
MIRNA:hsa-let-7a~hsa-let-7a,hsa-let-7a,hsa-let-7a,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,42,18.38095238095238,0.04202208624826107
MIRNA:hsa-mir-4721~hsa-mir-4721,hsa-mir-4721,hsa-mir-4721,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,36,21.444444444444446,0.04202208624826107
MIRNA:hsa-mir-544~hsa-mir-544,hsa-mir-544,hsa-mir-544,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,37,20.864864864864867,0.04202208624826107
MIRNA:hsa-mir-4748~hsa-mir-4748,hsa-mir-4748,hsa-mir-4748,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,29,26.620689655172413,0.04202208624826107
MIRNA:hsa-mir-1262~hsa-mir-1262,hsa-mir-1262,hsa-mir-1262,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,33,23.393939393939394,0.04202208624826107
MIRNA:hsa-let-7f~hsa-let-7f,hsa-let-7f,hsa-let-7f,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,42,18.38095238095238,0.04202208624826107
MIRNA:hsa-mir-98~hsa-mir-98,hsa-mir-98,hsa-mir-98,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,42,18.38095238095238,0.04202208624826107
MIRNA:hsa-mir-518e-3p~hsa-mir-518e-3p,hsa-mir-518e-3p,hsa-mir-518e-3p,MIRNA_TARGETS,1,50.0,0.04202208624826107,ZNF275,2,1,1,386.0,0.04202208624826107
MIRNA:hsa-mir-4670-3p~hsa-mir-4670-3p,hsa-mir-4670-3p,hsa-mir-4670-3p,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,39,19.794871794871796,0.04202208624826107
MIRNA:hsa-mir-4696~hsa-mir-4696,hsa-mir-4696,hsa-mir-4696,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,32,24.125,0.04202208624826107
MIRNA:hsa-let-7d~hsa-let-7d,hsa-let-7d,hsa-let-7d,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,42,18.38095238095238,0.04202208624826107
