Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
GO:0106388~rRNA small subunit aminocarboxypropyltransferase activity,rRNA small subunit aminocarboxypropyltransferase activity,"""Catalysis of the reaction: N1-methylpseudouridine in small subunit rRNA + S-adenosyl-L-methionine = H+ + N1-methyl-N3-[(3S)-3-amino-3-carboxypropyl]pseudouridine in small subunit rRNA + S-methyl-5'-thioadenosine."" [PMID:27084949, RHEA:63296]",GOTERM_MF_DIRECT,1,50.0,0.0017781290131362315,TSR3,2,1,1,10123.0,0.0017781290131362315
GO:0000455~enzyme-directed rRNA pseudouridine synthesis,enzyme-directed rRNA pseudouridine synthesis,"""The intramolecular conversion of uridine to pseudouridine during ribosome biogenesis where the enzyme specifies the site that becomes pseudouridylated without using a guide RNA."" [GOC:curators, ISBN:1555811337]",GOTERM_BP_DIRECT,1,50.0,0.01179295709191297,TSR3,2,1,4,2628.25,0.01179295709191297
GO:0031118~rRNA pseudouridine synthesis,rRNA pseudouridine synthesis,"""The intramolecular conversion of uridine to pseudouridine in an rRNA molecule."" [GOC:mah]",GOTERM_BP_DIRECT,1,50.0,0.01179295709191297,TSR3,2,1,8,1314.125,0.01179295709191297
MIRNA:hsa-mir-106b-3p~hsa-mir-106b-3p,hsa-mir-106b-3p,hsa-mir-106b-3p,MIRNA_TARGETS,1,100.0,0.012621709340064902,PRICKLE3,1,1,70,237.68571428571428,0.012621709340064902
"GO:0140102~catalytic activity, acting on a rRNA","catalytic activity, acting on a rRNA","""Catalytic activity that acts to modify a ribosomal RNA."" [GOC:molecular_function_refactoring, GOC:pdt]",GOTERM_MF_DIRECT,1,50.0,0.01480895872348209,TSR3,2,1,25,404.92,0.01480895872348209
GO:1904047~S-adenosyl-L-methionine binding,S-adenosyl-L-methionine binding,"""Binding to S-adenosyl-L-methionine."" [GO_REF:0000067, GOC:BHF, GOC:hal, GOC:TermGenie, PMID:22985361]",GOTERM_MF_DIRECT,1,50.0,0.01480895872348209,TSR3,2,1,20,506.15,0.01480895872348209
GO:0001522~pseudouridine synthesis,pseudouridine synthesis,"""The intramolecular conversion of uridine to pseudouridine within an RNA molecule."" [GOC:hjd, GOC:mah]",GOTERM_BP_DIRECT,1,50.0,0.017685228175115048,TSR3,2,1,18,584.0555555555555,0.017685228175115048
HP:0001112~Leber optic atrophy,Leber optic atrophy,Degeneration of retinal ganglion cells and their axons.,HUMAN_PHENOTYPE_ONTOLOGY,1,100.0,0.025590551181102317,PRICKLE3,1,1,10,508.0,0.025590551181102317
GO:0000154~rRNA modification,rRNA modification,"""The covalent alteration of one or more nucleotides within an rRNA molecule to produce an rRNA molecule with a sequence that differs from that coded genetically."" [GOC:curators]",GOTERM_BP_DIRECT,1,50.0,0.025780526753975658,TSR3,2,1,35,300.37142857142857,0.025780526753975658
REAC:R-HSA-6790901~rRNA modification in the nucleus and cytosol,rRNA modification in the nucleus and cytosol,rRNA modification in the nucleus and cytosol,REACTOME_PATHWAY,1,100.0,0.026808433296982015,TSR3,1,1,59,186.50847457627117,0.026808433296982015
"GO:0016765~transferase activity, transferring alkyl or aryl (other than methyl) groups","transferase activity, transferring alkyl or aryl (other than methyl) groups","""Catalysis of the transfer of an alkyl or aryl (but not methyl) group from one compound (donor) to another (acceptor)."" [EC:2.5.1.-]",GOTERM_MF_DIRECT,1,50.0,0.027962648702265835,TSR3,2,1,63,160.6825396825397,0.027962648702265835
REAC:R-HSA-72312~rRNA processing,rRNA processing,rRNA processing,REACTOME_PATHWAY,1,100.0,0.030594935175087823,TSR3,1,1,202,54.475247524752476,0.030594935175087823
REAC:R-HSA-8868773~rRNA processing in the nucleus and cytosol,rRNA processing in the nucleus and cytosol,rRNA processing in the nucleus and cytosol,REACTOME_PATHWAY,1,100.0,0.030594935175087823,TSR3,1,1,192,57.3125,0.030594935175087823
GO:0030490~maturation of SSU-rRNA,maturation of SSU-rRNA,"""Any process involved in the maturation of a precursor Small SubUnit (SSU) ribosomal RNA (rRNA) molecule into a mature SSU-rRNA molecule."" [GOC:curators]",GOTERM_BP_DIRECT,1,50.0,0.031217886964704112,TSR3,2,1,53,198.35849056603774,0.031217886964704112
KEGG:04310~Wnt signaling pathway,Wnt signaling pathway,Wnt signaling pathway,KEGG_PATHWAY,1,100.0,0.04101838755304121,PRICKLE3,1,1,174,48.758620689655174,0.04101838755304121
