uid,gene,category
A0A075B6I0,IGLV8-61,Immunoglobulins
A0A075B6I6,IGLV1-50,Immunoglobulins
A0A075B6S6,IGKV2D-30,Immunoglobulins
A0A075B6T7,TRAV6,Other_Cellular_Proteins
A0A087WSY6,IGKV3D-15,Immunoglobulins
A0A096LP01,SMIM26,Other_Cellular_Proteins
A0A0A0MRZ8,IGKV3D-11,Immunoglobulins
A0A0A0MS02,TRGV1,Other_Cellular_Proteins
A0A0A0MS14,IGHV1-45,Immunoglobulins
A0A0B4J1U3,IGLV1-36,Immunoglobulins
A0A0B4J1U4,TRGV5,Other_Cellular_Proteins
A0A0B4J1V7,IGHV7-81,Immunoglobulins
A0A0B4J1X5,IGHV3-74,Immunoglobulins
A0A0B4J245,TRAV12-1,Other_Cellular_Proteins
A0A0B4J271,TRAV12-3,Other_Cellular_Proteins
A0A0B4J2H0,IGHV1-69D,Immunoglobulins
A0A0C4DH41,IGHV4-61,Immunoglobulins
A0A0J9YX06,TRBJ1-2,Other_Cellular_Proteins
A0A0J9YX57,MAGEB6B,Other_Cellular_Proteins
A0A0K0K1G6,TRBV10-3,Other_Cellular_Proteins
A0A1B0GUW6,SPEM3,Membrane_Proteins
A0A1B0GV85,REELD1,Membrane_Proteins
A0A1B0GVD1,FAM237B,Secreted_Factors
A0A1B0GVH7,IQCM,Other_Cellular_Proteins
A0A286YF18,SMIM44,Membrane_Proteins
A0A2R8YFL7,OOSP4A,Secreted_Factors
A0A3B3IU46,RAMACL,Other_Cellular_Proteins
A0MZ66,SHTN1,Other_Cellular_Proteins
A2IDD5,CCDC78,Other_Cellular_Proteins
A3QJZ7,PRAMEF27,Other_Cellular_Proteins
A4FU49,SH3D21,Other_Cellular_Proteins
A6H8Y1,BDP1,Other_Cellular_Proteins
A6NDK9,GOLGA6C,Other_Cellular_Proteins
A6NDN3,GOLGA6B,Other_Cellular_Proteins
A6NGD5,ZSCAN5C,Other_Cellular_Proteins
A6NGG8,PCARE,Other_Cellular_Proteins
A6NGY3,C5orf52,Other_Cellular_Proteins
A6NJ46,NKX6-3,Other_Cellular_Proteins
A6NJT0,UNCX,Other_Cellular_Proteins
A6NJV1,FAM166C,Other_Cellular_Proteins
A6NKC9,SH2D7,Other_Cellular_Proteins
A6NKL6,TMEM200C,Membrane_Proteins
A6NKW6,SHISAL2B,Membrane_Proteins
A6NLE4,SMIM23,Other_Cellular_Proteins
A6NM43,CCT8L1P,Other_Cellular_Proteins
A6NM76,OR6C76,Other_Cellular_Proteins
A6NP11,ZNF716,Other_Cellular_Proteins
A7MCY6,TBKBP1,Cellular Enzymes
A7XYQ1,SOBP,Other_Cellular_Proteins
A8K0R7,ZNF839,Other_Cellular_Proteins
A8K0S8,MEIS3P2,Other_Cellular_Proteins
A8MTL0,IQCF5,Other_Cellular_Proteins
A8MU46,SMTNL1,Other_Cellular_Proteins
A8MUL3,ADARB2-AS1,Other_Cellular_Proteins
A8MUP6,GSG1L2,Membrane_Proteins
A8MV65,VGLL3,Other_Cellular_Proteins
A8MW95,BECN2,Other_Cellular_Proteins
A8MXT2,MAGEB17,Other_Cellular_Proteins
A8MYV0,DCDC2C,Other_Cellular_Proteins
A8MZ26,EFCAB9,Other_Cellular_Proteins
A9YTQ3,AHRR,Other_Cellular_Proteins
B3KS81,SRRM5,Other_Cellular_Proteins
B4DZS4,TCP11X1,Other_Cellular_Proteins
E5RJM6,ANKRD65,Other_Cellular_Proteins
F8VTS6,RFPL4AL1,Other_Cellular_Proteins
H3BNL1,C3orf84,Other_Cellular_Proteins
H7BZ55,CROCC2,Other_Cellular_Proteins
I3L273,GFY,Other_Cellular_Proteins
M0QZC1,RNF225,Membrane_Proteins
O00203,AP3B1,Other_Cellular_Proteins
O00206,TLR4,Other_Cellular_Proteins
O00232,PSMD12,Other_Cellular_Proteins
O00292,LEFTY2,Secreted_Factors
O00300,TNFRSF11B,Secreted_Factors
O00322,UPK1A,Membrane_Proteins
O00330,PDX1,Other_Cellular_Proteins
O00421,CCR6,Other_Cellular_Proteins
O00425,IGF2BP3,Other_Cellular_Proteins
O00512,BCL9,Other_Cellular_Proteins
O00592,PODXL,Membrane_Proteins
O00624,SLC17A2,Other_Cellular_Proteins
O00635,TRIM38,Other_Cellular_Proteins
O00755,WNT7A,Secreted_Factors
O14490,DLGAP1,Other_Cellular_Proteins
O14508,SOCS2,Other_Cellular_Proteins
O14520,AQP7,Other_Cellular_Proteins
O14662,STX16,Other_Cellular_Proteins
O14730,RIOK3,Cellular Enzymes
O14771,ZNF213,Other_Cellular_Proteins
O14788,TNFSF11,BDP
O14793,MSTN,Secreted_Factors
O14904,WNT9A,Secreted_Factors
O14979,HNRNPDL,Other_Cellular_Proteins
O15056,SYNJ2,Other_Cellular_Proteins
O15209,ZBTB22,Other_Cellular_Proteins
O15211,RGL2,Other_Cellular_Proteins
O15231,ZNF185,Other_Cellular_Proteins
O15240,VGF,Secreted_Factors
O15254,ACOX3,Cellular Enzymes
O15263,DEFB4B,Secreted_Factors
O15381,NVL,Other_Cellular_Proteins
O15466,ST8SIA5,Other_Cellular_Proteins
O15520,FGF10,Secreted_Factors
O15522,NKX2-8,Other_Cellular_Proteins
O15530,PDK1,Cellular Enzymes
O15530,PDPK1,Cellular Enzymes
O15547,P2RX6,Other_Cellular_Proteins
O43290,SART1,Other_Cellular_Proteins
O43313,ATMIN,Other_Cellular_Proteins
O43347,MSI1,Other_Cellular_Proteins
O43353,RIPK2,Cellular Enzymes
O43463,SUV39H1,Other_Cellular_Proteins
O43567,RNF13,Other_Cellular_Proteins
O43711,TLX3,Other_Cellular_Proteins
O43852,CALU,Other_Cellular_Proteins
O43895,XPNPEP2,Other_Cellular_Proteins
O43900,PRICKLE3,Other_Cellular_Proteins
O43914,TYROBP,Cellular Enzymes
O60218,AKR1B10,Secreted_Factors
O60268,KIAA0513,Other_Cellular_Proteins
O60602,TLR5,Other_Cellular_Proteins
O60684,KPNA6,Other_Cellular_Proteins
O60701,UGDH,Other_Cellular_Proteins
O60763,USO1,Other_Cellular_Proteins
O60884,DNAJA2,Membrane_Proteins
O75027,ABCB7,Other_Cellular_Proteins
O75153,CLUH,Other_Cellular_Proteins
O75157,TSC22D2,Other_Cellular_Proteins
O75159,SOCS5,Other_Cellular_Proteins
O75167,PHACTR2,Membrane_Proteins
O75185,ATP2C2,Other_Cellular_Proteins
O75200,NPIPB7,Secreted_Factors
O75330,HMMR,Other_Cellular_Proteins
O75333,TBX10,Other_Cellular_Proteins
O75335,PPFIA4,Other_Cellular_Proteins
O75340,PDCD6,Other_Cellular_Proteins
O75356,ENTPD5,Secreted_Factors
O75360,PROP1,Other_Cellular_Proteins
O75381,PEX14,Other_Cellular_Proteins
O75410,TACC1,Membrane_Proteins
O75452,RDH16,Other_Cellular_Proteins
O75503,CLN5,Membrane_Proteins
O75592,PAM,Other_Cellular_Proteins
O75648,TRMT1,Other_Cellular_Proteins
O75648,TRMU,Other_Cellular_Proteins
O75665,OFD1,Other_Cellular_Proteins
O75674,TOM1L1,Membrane_Proteins
O75688,PPM1B,Membrane_Proteins
O75716,STK16,Membrane_Proteins
O75791,GRAP2,Other_Cellular_Proteins
O75829,CNMD,Other_Cellular_Proteins
O75880,SCO1,Other_Cellular_Proteins
O75973,C1QL1,Secreted_Factors
O76036,NCR1,Other_Cellular_Proteins
O76074,PDE5A,Other_Cellular_Proteins
O76080,ZFAND5,Other_Cellular_Proteins
O94788,ALDH1A2,Other_Cellular_Proteins
O94805,ACTL6B,Other_Cellular_Proteins
O94933,SLITRK3,Membrane_Proteins
O94955,RHOBTB3,Other_Cellular_Proteins
O94972,TRIM37,Other_Cellular_Proteins
O94989,ARHGEF15,Other_Cellular_Proteins
O95047,OR2A4,Other_Cellular_Proteins
O95104,SCAF4,Other_Cellular_Proteins
O95154,AKR7A3,Other_Cellular_Proteins
O95157,NXPH3,Secreted_Factors
O95202,LETM1,Other_Cellular_Proteins
O95243,MED1,Other_Cellular_Proteins
O95476,CTDNEP1,Cellular Enzymes
O95772,STARD3NL,Other_Cellular_Proteins
O95872,GPANK1,Other_Cellular_Proteins
O95994,AGR2,Secreted_Factors
O96013,PAK4,Cellular Enzymes
O96020,CCNE2,Other_Cellular_Proteins
P00167,CYB5A,Other_Cellular_Proteins
P00390,GSR,Other_Cellular_Proteins
P00439,PAH,Other_Cellular_Proteins
P01106,MYC,BDP
P01258,CALCA,BDP
P01701,IGLV1-51,Immunoglobulins
P01742,IGHV1-69,Immunoglobulins
P01782,IGHV3-9,Immunoglobulins
P01824,IGHV4-39,Immunoglobulins
P01825,IGHV4-59,Immunoglobulins
P02452,COL1A1,BDP
P02461,COL3A1,BDP
P02751,FN1,BDP
P02818,BGLAP,BDP
P03372,ESR1,BDP
P03979,TRGV3,Other_Cellular_Proteins
P04004,VTN,BDP
P04198,MYCN,BDP
P04628,WNT1,Secreted_Factors
P04629,NTRK1,BDP
P04637,TP53,BDP
P05165,PCCA,Other_Cellular_Proteins
P05198,EIF2S1,Other_Cellular_Proteins
P05412,JUN,BDP
P05549,TFAP2A,Other_Cellular_Proteins
P05997,COL5A2,BDP
P06401,PGR,BDP
P06746,POLB,Other_Cellular_Proteins
P06870,KLK1,Other_Cellular_Proteins
P07204,THBD,Membrane_Proteins
P07225,PROS1,Serum_Proteins
P07333,CSF1R,BDP
P08123,COL1A2,BDP
P09211,GSTP1,Other_Cellular_Proteins
P0C1S8,WEE2,Cellular Enzymes
P0C5J1,FAM86B2,Other_Cellular_Proteins
P0C7T7,FRMD6-AS1,Other_Cellular_Proteins
P0C7V9,METTL15P1,Other_Cellular_Proteins
P0CAP2,POLR2M,Other_Cellular_Proteins
P0CB47,UBTFL1,Other_Cellular_Proteins
P0CB48,UBTFL6,Other_Cellular_Proteins
P0CG23,ZNF853,Other_Cellular_Proteins
P0CG33,GOLGA6D,Other_Cellular_Proteins
P0CW27,CCDC166,Other_Cellular_Proteins
P0DJD7,PGA4,Secreted_Factors
P0DJD8,PGA3,Secreted_Factors
P0DJI8,SAA1,Serum_Proteins
P0DMN0,SULT1A4,Other_Cellular_Proteins
P0DMS8,ADORA3,Other_Cellular_Proteins
P0DP08,IGHV4-38-2,Immunoglobulins
P0DQD5,NPY4R2,Other_Cellular_Proteins
P10073,ZSCAN22,Other_Cellular_Proteins
P10074,ZBTB48,Other_Cellular_Proteins
P10275,AR,BDP
P10415,BCL2,BDP
P10451,SPP1,BDP
P10515,DLAT,Other_Cellular_Proteins
P10828,THRB,Other_Cellular_Proteins
P11166,SLC2A1,Other_Cellular_Proteins
P12235,SLC25A4,Membrane_Proteins
P12270,TPR,Other_Cellular_Proteins
P12319,FCER1A,Immunoglobulins
P12429,ANXA3,Other_Cellular_Proteins
P12524,MYCL,BDP
P12532,CKMT1B,Cellular Enzymes
P12643,BMP2,BDP
P12644,BMP4,Other_Cellular_Proteins
P12755,SKI,Other_Cellular_Proteins
P12931,SRC,BDP
P13010,XRCC5,Other_Cellular_Proteins
P13385,TDGF1,Secreted_Factors
P13686,ACP5,Cellular Enzymes
P13727,PRG2,Secreted_Factors
P14314,PRKCSH,Other_Cellular_Proteins
P14923,JUP,Other_Cellular_Proteins
P15121,AKR1B1,Other_Cellular_Proteins
P15882,CHN1,Other_Cellular_Proteins
P16284,PECAM1,Other_Cellular_Proteins
P17252,PRKACA,Cellular Enzymes
P17538,CTRB1,Other_Cellular_Proteins
P17600,SYN1,Other_Cellular_Proteins
P17858,PFKL,Cellular Enzymes
P18075,BMP7,BDP
P18858,LIG1,Other_Cellular_Proteins
P18887,XRCC1,Other_Cellular_Proteins
P19087,GNAT2,Other_Cellular_Proteins
P19838,NFKB1,BDP
P20827,EFNA1,Secreted_Factors
P20908,COL5A1,BDP
P21580,TNFAIP3,Other_Cellular_Proteins
P21781,FGF7,Secreted_Factors
P21854,CD72,Membrane_Proteins
P22460,KCNA5,Other_Cellular_Proteins
P22676,CALB2,Other_Cellular_Proteins
P23219,PTGS1,BDP
P23327,HRC,Other_Cellular_Proteins
P24001,IL32,Secreted_Factors
P25024,CXCR1,Other_Cellular_Proteins
P25789,PSMA4,Other_Cellular_Proteins
P25940,COL5A3,BDP
P26441,CNTF,Other_Cellular_Proteins
P27352,CBLIF,Secreted_Factors
P27701,CD82,Other_Cellular_Proteins
P28482,MAPK1,BDP
P28566,HTR1E,Other_Cellular_Proteins
P28676,GCA,Other_Cellular_Proteins
P28907,CD38,Membrane_Proteins
P29474,NOS3,BDP
P30101,PDIA3,Cellular Enzymes
P30613,PKLR,Cellular Enzymes
P31271,HOXA13,Other_Cellular_Proteins
P31749,AKT1,BDP
P31941,APOBEC3A,Cellular Enzymes
P32238,CCKAR,Other_Cellular_Proteins
P32754,HPD,Other_Cellular_Proteins
P32780,GTF2H1,Other_Cellular_Proteins
P34972,CNR2,BDP
P34995,PTGER1,Other_Cellular_Proteins
P35226,BMI1,Other_Cellular_Proteins
P35269,GTF2F1,Other_Cellular_Proteins
P35354,PTGS2,BDP
P35443,THBS4,Matricellular
P35453,HOXD13,Other_Cellular_Proteins
P35680,HNF1B,Other_Cellular_Proteins
P36406,TRIM23,Other_Cellular_Proteins
P36957,DLST,Other_Cellular_Proteins
P36980,CFHR2,Serum_Proteins
P37275,ZEB1,Other_Cellular_Proteins
P39023,RPL3,Other_Cellular_Proteins
P39880,CUX1,Other_Cellular_Proteins
P40121,CAPG,Matricellular
P40199,CEACAM6,Other_Cellular_Proteins
P40879,SLC26A3,Membrane_Proteins
P41180,CASR,BDP
P41180,CASR,Other_Cellular_Proteins
P42574,CASP3,BDP
P43121,MCAM,Membrane_Proteins
P43235,CTSK,BDP
P43629,KIR3DL1,Immunoglobulins
P46100,ATRX,Other_Cellular_Proteins
P47756,CAPZB,Other_Cellular_Proteins
P47804,RGR,Membrane_Proteins
