"__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1","3.1379310344827585","0.015355464494429157","0.3186813186813187","0.22631578947368422","22","5","false","MYC","10.6","0","21","1","1","1","0","0.956368754398311","false","1","MYC","1500","0.20288461538461539"
"1","3.2","0.007000051331692111","0.3125","0.3626373626373626","14","5","false","PSMA4","14.071428571428571","0","14","0","0","0","0","0.9551020408163264","false","0","PSMA4","736","0.2512755102040816"
"14","3.6363636363636362","0.42992424242424243","0.275","0.027777777777777776","11","8","false","CALCA","1.4444444444444444","0","10","1","1","1","0","0.8116883116883117","false","1","CALCA","678","0.16666666666666666"
"14","4.606060606060606","0.0","0.21710526315789472","0.0","1","9","false","COL9A3","9.0","0","1",,"0","0","0","0.7424242424242424","false","0","COL9A3","0","0.0"
"6","4.177777777777778","0.0","0.23936170212765956","1.0","2","6","false","XPNPEP2","2.5","0","2","0","0","0","0","0.916374269005848","false","0","XPNPEP2","0","0.8333333333333334"
"6","4.177777777777778","0.0","0.23936170212765956","1.0","4","6","false","NOS3","2.5","0","3","1","1","1","0","0.916374269005848","false","1","NOS3","0","0.8333333333333334"
"15","3.1794871794871793","0.0","0.31451612903225806","0.0","1","6","false","IGLV1-51","20.0","0","1","0",,"0","0","0.8910256410256411","false","0","IGLV1-51","0","0.0"
"15","2.2051282051282053","0.7424651372019794","0.45348837209302323","0.02631578947368421","20","5","false","SOST","1.7","0","20","1","1","1","0","0.9397435897435897","false","0","SOST","1724","0.08846153846153847"
"6","1.2666666666666666","0.6469809203142536","0.7894736842105263","0.07254623044096728","38","4","false","MYCN","3.8157894736842106","0","38","1","1","1","0","0.9929824561403509","false","0","MYCN","1750","0.1037593984962406"
"6","2.2444444444444445","0.0","0.44554455445544555","0.0","1","5","false","TSR3","38.0","0","1",,"0","0","0","0.967251461988304","false","0","TSR3","0","0.0"
"7","1.4615384615384615","0.04789125404510021","0.6842105263157895","0.45714285714285713","17","3","false","BMP7","10.133333333333333","0","16","1","1","1","0","0.9815384615384616","false","1","BMP7","114","0.4053333333333333"
"7","1.8846153846153846","2.366863905325444E-4","0.5306122448979592","0.8333333333333334","4","3","false","FAM83C","18.75","0","4",,"0","0","0","0.9646153846153847","false","0","FAM83C","2","0.75"
"1","3.1448275862068966","0.22428324313866693","0.31798245614035087","0.05","27","5","false","RELA","2.6","0","26","1","1","1","0","0.9562280084447573","false","1","RELA","18564","0.09818181818181818"
"1","4.13103448275862","0.0","0.24207011686143576","1.0","2","6","false","OR51A4","15.0","0","2","0","0","0","0","0.9361013370865587","false","0","OR51A4","0","0.6"
"12","2.341463414634146","0.054357333046357446","0.42708333333333337","0.4338235294117647","19","4","false","AKT1","8.117647058823529","0","18","1","1","1","0","0.9210903873744619","false","1","AKT1","478","0.40588235294117647"
"12","2.5853658536585367","0.05789915369183661","0.38679245283018865","0.6","5","5","false","KLHL40","11.8","0","5","0","0","0","0","0.9067431850789096","false","0","KLHL40","398","0.6105263157894737"
"10","1.2166666666666666","0.5562449341717262","0.8219178082191781","0.07428571428571429","50","3","false","COL3A1","5.74","0","50","1","1","1","0","0.9956666666666666","false","0","COL3A1","4622","0.11787234042553192"
"9","3.4651162790697674","1.1109521513438281E-4","0.28859060402684567","0.0","2","6","false","PTPN18","6.5","0","2","0","0","0","0","0.9567523459812322","false","0","PTPN18","18","0.55"
"3","2.774193548387097","0.0","0.36046511627906974","1.0","2","4","false","POLB","8.0","0","2","0","0","0","0","0.9694104560622915","false","0","POLB","0","0.5714285714285714"
"3","1.064516129032258","0.8223162347964041","0.9393939393939394","0.04476709013914096","60","2","false","COL1A1","3.6206896551724137","0","59","1","1","1","0","0.9988876529477198","false","1","COL1A1","3574","0.06631299734748011"
