"EdgeBetweenness","Host_organism_taxid","interaction","irefindex_check","mean_prob_aff","method","name","numParticipants","OP_A","OP_B","OP_check","Predicted Classes","Probability Score","Regression Value","score_norm","selected","shared interaction","shared name","stringdb_check","uidA","uidA_irefindex","uidB","uidB_irefindex"
"0.0","","interacts with","0","0.677821383","","MYC (interacts with) MYC",,"1","1","1","1","0.946341463","0.409301303",,"false","interacts with","MYC (interacts with) MYC","0","P01106","","P01106",""
"20.601352242528712","","interacts with","0","0.476426321","","MYC (interacts with) PSMA4",,"1","0","1","1","0.551219512","0.40163313",,"false","interacts with","MYC (interacts with) PSMA4","0","P01106","","P25789",""
"10.5577087515168","","interacts with","0","0.476426425","","MYC (interacts with) OR51M1",,"1","0","1","1","0.551219512","0.401633338",,"false","interacts with","MYC (interacts with) OR51M1","0","P01106","","Q9H341",""
"14.089588450764918","","interacts with","0","0.476426152","","MYC (interacts with) PMS2",,"1","0","1","1","0.551219512","0.401632792",,"false","interacts with","MYC (interacts with) PMS2","0","P01106","","P54278",""
"21.547144517886203","","interacts with","0","0.464231186","","MYC (interacts with) ZNF319",,"1","0","1","1","0.526829268","0.401633103",,"false","interacts with","MYC (interacts with) ZNF319","0","P01106","","Q9P2F9",""
"18.910221260221256","","interacts with","0","0.47642628","","MYC (interacts with) TRIM55",,"1","0","1","1","0.551219512","0.401633048",,"false","interacts with","MYC (interacts with) TRIM55","0","P01106","","Q9BYV6",""
"16.024375418183467","","interacts with","0","0.476426266","","MYC (interacts with) UCP3",,"1","0","1","1","0.551219512","0.401633019",,"false","interacts with","MYC (interacts with) UCP3","0","P01106","","P55916",""
"17.204093945270415","","interacts with","0","0.476426303","","MYC (interacts with) ZNF668",,"1","0","1","1","0.551219512","0.401633095",,"false","interacts with","MYC (interacts with) ZNF668","0","P01106","","Q96K58",""
"14.665998707175177","","interacts with","0","0.476426301","","MYC (interacts with) METTL15P1",,"1","0","1","1","0.551219512","0.40163309",,"false","interacts with","MYC (interacts with) METTL15P1","0","P01106","","P0C7V9",""
"18.35807329924977","","interacts with","0","0.46423127","","MYC (interacts with) STAP1",,"1","0","1","1","0.526829268","0.401633272",,"false","interacts with","MYC (interacts with) STAP1","0","P01106","","Q9ULZ2",""
"13.14911226028873","","interacts with","0","0.476426247","","MYC (interacts with) RAB24",,"1","0","1","1","0.551219512","0.401632982",,"false","interacts with","MYC (interacts with) RAB24","0","P01106","","Q969Q5",""
"13.363617754794223","","interacts with","0","0.476426371","","EFCAB9 (interacts with) MYC",,"0","1","1","1","0.551219512","0.401633231",,"false","interacts with","EFCAB9 (interacts with) MYC","0","A8MZ26","","P01106",""
"17.923335219294298","","interacts with","0","0.476426165","","MYC (interacts with) PHC2",,"1","0","1","1","0.551219512","0.401632818",,"false","interacts with","MYC (interacts with) PHC2","0","P01106","","Q8IXK0",""
"13.171994465802515","","interacts with","0","0.476426373","","MYC (interacts with) GSTP1",,"1","0","1","1","0.551219512","0.401633234",,"false","interacts with","MYC (interacts with) GSTP1","0","P01106","","P09211",""
