"__leidenCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1","1.564102564102564","0.03939748530137546","0.639344262295082","0.3014705882352941","19","2","false","MYC","11.117647058823529","0","18","1","1","1","0","0.9843304843304844","false","1","MYC","216","0.2850678733031674"
"1","1.6923076923076923","0.015257500783816571","0.5909090909090909","0.4393939393939394","12","2","false","PSMA4","13.583333333333334","0","12","0","0","0","0","0.9807692307692307","false","0","PSMA4","80","0.3482905982905983"
"10","1.0","0.8472222222222222","1.0","0.1111111111111111","11","1","false","CALCA","1.8888888888888888","0","10","1","1","1","0","1.0","false","1","CALCA","64","0.25925925925925924"
"10","1.8888888888888888","0.0","0.5294117647058824","0.0","1","2","false","COL9A3","9.0","0","1",,"0","0","0","0.9012345679012346","false","0","COL9A3","0","0.0"
"12","1.3333333333333333","0.0","0.75","1.0","2","2","false","XPNPEP2","2.5","0","2","0","0","0","0","0.888888888888889","false","0","XPNPEP2","0","0.8333333333333334"
"12","1.0","0.6666666666666666","1.0","0.3333333333333333","5","1","false","NOS3","1.6666666666666667","0","4","1","1","1","0","1.0","false","1","NOS3","4","0.6666666666666666"
"13","1.8888888888888888","0.0","0.5294117647058824","0.0","1","2","false","IGLV1-51","9.0","0","1","0",,"0","0","0.9012345679012346","false","0","IGLV1-51","0","0.0"
"13","1.0","1.0","1.0","0.0","9","1","false","SOST","1.0","0","9","1","1","1","0","1.0","false","0","SOST","72","0.0"
"16","1.0","0.4350438596491228","1.0","0.20526315789473684","20","1","false","MYCN","4.9","0","20","1","1","1","0","1.0","false","0","MYCN","302","0.245"
"17","1.5","0.0","0.6666666666666666","0.0","1","2","false","TSR3","2.0","0","1",,"0","0","0","0.75","false","0","TSR3","0","0.0"
"27","1.3846153846153846","0.053519036519036514","0.7222222222222222","0.45","18","2","false","BMP7","10.625","0","17","1","1","1","0","0.985207100591716","false","1","BMP7","132","0.40865384615384615"
"27","1.8461538461538463","2.1978021978021978E-4","0.5416666666666666","0.8333333333333334","4","2","false","FAM83C","19.75","0","4",,"0","0","0","0.9674556213017751","false","0","FAM83C","2","0.7596153846153846"
"28","1.0","0.6085858585858587","1.0","0.19696969696969696","14","1","false","RELA","3.1666666666666665","0","13","1","1","1","0","1.0","false","1","RELA","106","0.2638888888888889"
"28","1.75","0.00505050505050505","0.5714285714285714","0.6666666666666666","3","2","false","OR51A4","6.666666666666667","0","3","0","0","0","0","0.9375","false","0","OR51A4","2","0.5555555555555556"
"43","1.0","0.17394658718188136","1.0","0.39869281045751637","20","1","false","AKT1","7.777777777777778","0","19","1","1","1","0","1.0","false","1","AKT1","184","0.43209876543209874"
"43","1.7777777777777777","0.0","0.5625","1.0","4","2","false","KLHL40","14.5","0","4","0","0","0","0","0.95679012345679","false","0","KLHL40","0","0.8055555555555556"
"46","1.125","0.2431555619559652","0.8888888888888888","0.20899470899470898","28","2","false","COL3A1","8.178571428571429","0","28","1","1","1","0","0.9955357142857143","false","0","COL3A1","668","0.2626728110599078"
"47","2.0","0.0","0.5","0.0","1","3","false","PTPN18","2.0","0","1","0","0","0","0","0.5","false","0","PTPN18","0","0.0"
"15","2.0","0.0","0.5","0.0","1","3","false","POLB","3.0","0","1","0","0","0","0","0.6666666666666666","false","0","POLB","0","0.0"
"62","1.0","0.3971390927912667","1.0","0.19367588932806323","25","1","false","COL1A1","5.260869565217392","0","24","1","1","1","0","1.0","false","1","COL1A1","408","0.22873345935727787"
"63","1.6","0.06666666666666667","0.625","0.0","2","2","false","POF1B","3.5","0","2","0","0","0","0","0.85","false","0","POF1B","4","0.8333333333333334"
"63","1.6","0.06666666666666667","0.625","0.0","2","2","false","ANXA3","3.5","0","2","0","0","0","0","0.85","false","0","ANXA3","4","0.8333333333333334"
"1","1.0769230769230769","0.27767895341004545","0.9285714285714286","0.2111111111111111","38","2","false","TRAF6","9.25","0","37","1","1","1","0","0.9978632478632478","false","1","TRAF6","1082","0.23717948717948717"
"90","1.0","0.23657031140902107","1.0","0.23440860215053763","31","1","false","COL1A2","8.03225806451613","0","31","1","1","1","0","1.0","false","0","COL1A2","712","0.259105098855359"
"90","1.8387096774193548","0.0010701484895033282","0.543859649122807","0.7","5","2","false","NAP1L3","22.8","0","5","0","0","0","0","0.9729448491155046","false","0","NAP1L3","6","0.7354838709677419"
"112","1.52","0.034367521367521366","0.6578947368421053","0.36363636363636365","12","2","false","RAMACL","10.75","0","12","0","0","0","0","0.9792000000000001","false","0","RAMACL","84","0.43"
"112","1.0","0.22128551078551084","1.0","0.3433333333333333","25","1","false","MYCL","9.24","0","25","1","1","1","0","1.0","false","0","MYCL","394","0.3696"
"115","1.6538461538461537","0.018437229437229436","0.6046511627906977","0.2222222222222222","9","2","false","FGF10","10.444444444444445","0","9","0",,"0","0","0.9748520710059172","false","0","FGF10","56","0.4017094017094017"
"115","1.0","0.33237862137862134","1.0","0.27692307692307694","28","1","false","TP53","7.923076923076923","0","27","1","1","1","0","1.0","false","1","TP53","470","0.3047337278106509"
"6","1.5238095238095237","0.08418975865404439","0.65625","0.38181818181818183","11","3","false","BMI1","7.636363636363637","0","11","0","0","0","0","0.9597069597069597","false","0","BMI1","106","0.39712918660287083"
"46","1.71875","0.014424523169482846","0.5818181818181818","0.3333333333333333","9","2","false","ELAC2","13.0","0","9","0","0","0","0","0.9743303571428571","false","0","ELAC2","62","0.40625"
"126","1.8","0.0","0.5555555555555556","1.0","2","2","false","CLN5","7.0","0","2","0","0","0","0","0.9199999999999999","false","0","CLN5","0","0.7"
"126","1.0","0.8111111111111111","1.0","0.13333333333333333","10","1","false","COL5A1","2.2","0","10","1","1","1","0","1.0","false","0","COL5A1","78","0.25"
"18","1.75","0.0","0.5714285714285714","0.0","1","2","false","RAB38","4.0","0","1","0","0","0","0","0.8125","false","0","RAB38","0","0.0"
"128","1.875","0.0","0.5333333333333333","1.0","3","2","false","SRRM5","17.666666666666668","0","3","0","0","0","0","0.9635416666666666","false","0","SRRM5","0","0.7361111111111112"
