"__mclCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"5","1.74","0.04309393040146705","0.5747126436781609","0.24183006535947713","20","3","false","MYC","10.222222222222221","0","19","1","1","1","0","0.9839130434782608","false","1","MYC","346","0.23106060606060605"
"5","1.76","0.013989558967109985","0.5681818181818182","0.38461538461538464","13","3","false","PSMA4","13.384615384615385","0","13","0","0","0","0","0.9834782608695652","false","0","PSMA4","122","0.2731554160125589"
"28","1.0","0.8472222222222222","1.0","0.1111111111111111","11","1","false","CALCA","1.8888888888888888","0","10","1","1","1","0","1.0","false","1","CALCA","64","0.25925925925925924"
"28","1.8888888888888888","0.0","0.5294117647058824","0.0","1","2","false","COL9A3","9.0","0","1",,"0","0","0","0.9012345679012346","false","0","COL9A3","0","0.0"
"39","1.0","0.0","1.0","1.0","2","1","false","XPNPEP2","2.0","0","2","0","0","0","0","1.0","false","0","XPNPEP2","0","1.0"
"39","1.0","0.0","1.0","1.0","4","1","false","NOS3","2.0","0","3","1","1","1","0","1.0","false","1","NOS3","0","1.0"
"15","2.0","0.0","0.5","0.0","1","3","false","IGLV1-51","20.0","0","1","0",,"0","0","0.95","false","0","IGLV1-51","0","0.0"
"15","1.0476190476190477","0.9452380952380953","0.9545454545454545","0.042105263157894736","20","2","false","SOST","1.85","0","20","1","1","1","0","0.9976190476190476","false","0","SOST","400","0.11666666666666667"
"8","1.0294117647058822","0.6368835412953059","0.9714285714285715","0.09848484848484848","33","2","false","MYCN","4.181818181818182","0","33","1","1","1","0","0.999108734402852","false","0","MYCN","1006","0.13196480938416422"
"61","1.0","0.0","1.0","0.0","1","1","false","TSR3","1.0","0","1",,"0","0","0","1.0","false","0","TSR3","0","0.0"
"10","1.3846153846153846","0.05424064824064824","0.7222222222222222","0.45","18","2","false","BMP7","10.375","0","17","1","1","1","0","0.985207100591716","false","1","BMP7","132","0.39903846153846156"
"10","1.8461538461538463","2.1978021978021978E-4","0.5416666666666666","0.8333333333333334","4","2","false","FAM83C","19.75","0","4",,"0","0","0","0.9674556213017751","false","0","FAM83C","2","0.7596153846153846"
"13","1.0","0.9110671936758893","1.0","0.04743083003952569","25","1","false","RELA","2.0434782608695654","0","24","1","1","1","0","1.0","false","1","RELA","482","0.13043478260869565"
"13","1.9130434782608696","0.0","0.5227272727272727","1.0","2","2","false","OR51A4","14.0","0","2","0","0","0","0","0.9603024574669187","false","0","OR51A4","0","0.6086956521739131"
"19","1.0","0.13711309523809523","1.0","0.4666666666666667","18","1","false","AKT1","8.0","0","17","1","1","1","0","1.0","false","1","AKT1","128","0.5"
,"0.0","0.0","0.0","0.0","0","0","true","KLHL40","0.0","0","0","0","0","0","0","Infinity","false","0","KLHL40","0","0.0"
"6","1.1224489795918366","0.5980804481519351","0.890909090909091","0.08139534883720931","44","3","false","COL3A1","5.568181818181818","0","44","1","1","1","0","0.9972170686456401","false","0","COL3A1","3288","0.14055023923444976"
"52","1.0","0.0","1.0","0.0","1","1","false","PTPN18","1.0","0","1","0","0","0","0","1.0","false","0","PTPN18","0","0.0"
"75","1.0","0.0","1.0","0.0","1","1","false","POLB","1.0","0","1","0","0","0","0","1.0","false","0","POLB","0","0.0"
"3","1.0338983050847457","0.7999958253318861","0.9672131147540984","0.05576441102756892","59","2","false","COL1A1","4.157894736842105","0","58","1","1","1","0","0.9994052928932501","false","1","COL1A1","3236","0.08"
"36","0.0","0.0","0.0","0.0","0","0","true","POF1B","0.0","0","0","0","0","0","0","Infinity","false","0","POF1B","0","0.0"
"5","1.98","9.070294784580499E-5","0.5050505050505051","0.6666666666666666","3","3","false","ANXA3","29.0","0","3","0","0","0","0","0.9786956521739131","false","0","ANXA3","2","0.6041666666666666"
"5","1.08","0.449716059283592","0.9259259259259258","0.13719806763285025","48","2","false","TRAF6","7.739130434782608","0","47","1","1","1","0","0.9982608695652174","false","1","TRAF6","2258","0.16032608695652173"
"4","1.02","0.5374239169351951","0.9803921568627451","0.0977891156462585","49","2","false","COL1A2","5.714285714285714","0","49","1","1","1","0","0.9995918367346938","false","0","COL1A2","2210","0.12244897959183673"
"4","1.92","4.5112781954887213E-4","0.5208333333333334","0.7","5","3","false","NAP1L3","27.8","0","5","0","0","0","0","0.9812244897959184","false","0","NAP1L3","6","0.5673469387755102"
"12","1.625","0.02634575569358178","0.6153846153846154","0.35555555555555557","10","3","false","RAMACL","10.4","0","10","0","0","0","0","0.9728260869565217","false","0","RAMACL","58","0.45217391304347826"
"12","1.0416666666666667","0.2854252933057281","0.96","0.31620553359683795","23","2","false","MYCL","8.0","0","23","1","1","1","0","0.9981884057971014","false","0","MYCL","370","0.3333333333333333"
"7","1.7142857142857142","0.013796245771035687","0.5833333333333334","0.2","10","2","false","FGF10","11.1","0","10","0",,"0","0","0.9795918367346939","false","0","FGF10","72","0.3171428571428571"
"7","1.0","0.5512945784374356","1.0","0.16806722689075632","37","1","false","TP53","6.714285714285714","0","36","1","1","1","0","1.0","false","1","TP53","990","0.20714285714285716"
,"0.0","0.0","0.0","0.0","0","0","true","BMI1","0.0","0","0","0","0","0","0","Infinity","false","0","BMI1","0","0.0"
"6","1.836734693877551","0.006976295412393534","0.5444444444444444","0.3333333333333333","9","3","false","ELAC2","14.555555555555555","0","9","0","0","0","0","0.9809833024118738","false","0","ELAC2","86","0.30324074074074076"
,"0.0","0.0","0.0","0.0","0","0","true","CLN5","0.0","0","0","0","0","0","0","Infinity","false","0","CLN5","0","0.0"
"26","1.0","0.8555555555555556","1.0","0.1111111111111111","10","1","false","COL5A1","2.0","0","10","1","1","1","0","1.0","false","0","COL5A1","80","0.24285714285714285"
"8","1.9705882352941178","0.0","0.5074626865671642","1.0","2","3","false","RAB38","28.0","0","2","0","0","0","0","0.9705882352941178","false","0","RAB38","0","0.8484848484848485"
"9","1.8888888888888888","0.0","0.5294117647058824","1.0","3","2","false","SRRM5","19.0","0","3","0","0","0","0","0.9670781893004116","false","0","SRRM5","0","0.7037037037037037"
"9","1.0","0.43007619952064385","1.0","0.21937321937321938","27","1","false","PROCR","6.703703703703703","0","27","1","1","1","0","1.0","false","0","PROCR","548","0.24828532235939643"
"17","1.0","0.38986928104575164","1.0","0.2679738562091503","18","1","false","SPP1","5.555555555555555","0","18","1","1","1","0","1.0","false","0","SPP1","224","0.30864197530864196"
"17","1.8333333333333333","0.0016339869281045752","0.5454545454545455","0.6666666666666666","3","2","false","RFESD","11.666666666666666","0","3",,"0","0","0","0.9537037037037037","false","0","RFESD","2","0.6481481481481481"
"6","2.020408163265306","0.025967393051700913","0.494949494949495","0.21818181818181817","13","3","false","NFKB1","9.272727272727273","0","12","1","1","1","0","0.9768089053803339","false","1","NFKB1","304","0.2597402597402597"
"10","1.1538461538461537","0.17945188145188146","0.8666666666666667","0.2554112554112554","24","2","false","PRKACA","7.818181818181818","0","23","1","1","1","0","0.9940828402366864","false","1","PRKACA","344","0.3006993006993007"
"14","1.6956521739130435","0.008968567664219837","0.5897435897435898","0.5714285714285714","7","2","false","IGHV7-81","10.571428571428571","0","7","0","0","0","0","0.9697542533081286","false","0","IGHV7-81","18","0.45962732919254656"
"14","1.0","0.41114248070769815","1.0","0.22924901185770752","25","1","false","BMP2","6.043478260869565","0","24","1","1","1","0","1.0","false","1","BMP2","390","0.2727272727272727"
"31","1.0","0.9333333333333333","1.0","0.06666666666666667","8","1","false","MAPK1","1.3333333333333333","0","7","1","1","1","0","1.0","false","1","MAPK1","28","0.3333333333333333"
