"__mclCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"6","1.7222222222222223","0.0469924032040411","0.5806451612903225","0.22631578947368422","22","3","false","MYC","10.4","0","21","1","1","1","0","0.9852607709750567","false","1","MYC","428","0.215625"
"6","1.7407407407407407","0.020525938978470604","0.574468085106383","0.3238095238095238","15","3","false","PSMA4","13.133333333333333","0","15","0","0","0","0","0.9848828420256992","false","0","PSMA4","194","0.24779874213836478"
"24","1.0","0.8999999999999999","1.0","0.07272727272727272","13","1","false","CALCA","1.7272727272727273","0","12","1","1","1","0","1.0","false","1","CALCA","102","0.21212121212121213"
"24","1.9090909090909092","0.0","0.5238095238095238","0.0","1","2","false","COL9A3","11.0","0","1",,"0","0","0","0.9173553719008264","false","0","COL9A3","0","0.0"
"31","1.3333333333333333","0.0","0.75","1.0","2","2","false","XPNPEP2","2.5","0","2","0","0","0","0","0.888888888888889","false","0","XPNPEP2","0","0.8333333333333334"
"31","1.0","0.6666666666666666","1.0","0.3333333333333333","5","1","false","NOS3","1.6666666666666667","0","4","1","1","1","0","1.0","false","1","NOS3","4","0.6666666666666666"
"12","2.142857142857143","0.0","0.4666666666666667","0.0","1","3","false","IGLV1-51","23.0","0","1","0",,"0","0","0.9503105590062112","false","0","IGLV1-51","0","0.0"
"12","1.1785714285714286","0.951058201058201","0.8484848484848485","0.03162055335968379","23","2","false","SOST","1.9130434782608696","0","23","1","1","1","0","0.9922360248447205","false","0","SOST","722","0.08695652173913043"
"1","2.9448275862068964","0.2637580024875008","0.3395784543325527","0.07681365576102418","38","5","false","MYCN","4.078947368421052","0","38","1","1","1","0","0.9729885057471264","false","0","MYCN","24350","0.09802631578947368"
"1","3.0","0.04026085857897892","0.3333333333333333","0.0","2","5","false","TSR3","21.5","0","2",,"0","0","0","0.9722222222222222","false","0","TSR3","4270","0.5"
"13","1.3846153846153846","0.05424064824064824","0.7222222222222222","0.45","18","2","false","BMP7","10.375","0","17","1","1","1","0","0.985207100591716","false","1","BMP7","132","0.39903846153846156"
