"__mcodeCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"4","4.012987012987013","0.023513135471339812","0.24919093851132684","0.4","8","6","false","MYC","4.833333333333333","0","7","1","1","1","0","0.8227654698242933","false","1","MYC","538","0.3717948717948718"
"8","3.65625","0.27976190476190477","0.27350427350427353","0.0","5","6","false","PSMA4","2.4","0","5","0","0","0","0","0.833984375","false","0","PSMA4","1688","0.2"
"11","4.90625","0.0","0.20382165605095542","0.0","3","8","false","CALCA","3.0","0","2","1","1","1","0","0.8779296875","false","1","CALCA","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","COL9A3","0.0","0","0",,"0","0","0","Infinity","false","0","COL9A3","0","0.0"
"18","1.3333333333333333","0.0","0.75","1.0","2","2","false","XPNPEP2","2.5","0","2","0","0","0","0","0.888888888888889","false","0","XPNPEP2","0","0.8333333333333334"
"18","1.0","0.6666666666666666","1.0","0.3333333333333333","5","1","false","NOS3","1.6666666666666667","0","4","1","1","1","0","1.0","false","1","NOS3","4","0.6666666666666666"
"2","6.3478260869565215","0.0","0.15753424657534248","0.0","1","10","false","IGLV1-51","20.0","0","1","0",,"0","0","0.8379446640316205","false","0","IGLV1-51","0","0.0"
"2","5.352657004830918","0.14525525812078421","0.1868231046931408","0.03684210526315789","20","9","false","SOST","1.9","0","20","1","1","1","0","0.8681013028839116","false","0","SOST","15090","0.10384615384615385"
"17","3.1538461538461537","0.0","0.3170731707317073","1.0","2","5","false","MYCN","3.0","0","2","1","1","1","0","0.5692307692307692","false","0","MYCN","0","0.75"
"13","0.0","0.0","0.0","0.0","0","0","true","TSR3","0.0","0","0",,"0","0","0","Infinity","false","0","TSR3","0","0.0"
"3","1.4444444444444444","0.04768324426444085","0.6923076923076923","0.4857142857142857","17","2","false","BMP7","10.733333333333333","0","16","1","1","1","0","0.9822222222222223","false","1","BMP7","134","0.39753086419753086"
"3","1.8888888888888888","4.3830813061582295E-4","0.5294117647058824","0.8333333333333334","4","3","false","FAM83C","19.0","0","4",,"0","0","0","0.9644444444444444","false","0","FAM83C","4","0.7307692307692307"
"14","1.2142857142857142","0.896384479717813","0.823529411764706","0.043478260869565216","25","3","false","RELA","2.1739130434782608","0","24","1","1","1","0","0.9906832298136645","false","1","RELA","740","0.11014492753623188"
"14","2.142857142857143","0.0","0.4666666666666667","1.0","2","4","false","OR51A4","14.0","0","2","0","0","0","0","0.9503105590062112","false","0","OR51A4","0","0.6086956521739131"
"1","3.6","0.10070207570207569","0.2777777777777778","0.42857142857142855","10","5","false","AKT1","4.25","0","9","1","1","1","0","0.8818181818181817","false","1","AKT1","618","0.425"
"1","4.35","0.0","0.2298850574712644","1.0","3","6","false","KLHL40","7.0","0","3","0","0","0","0","0.8477272727272727","false","0","KLHL40","0","0.7777777777777778"
"11","2.3229166666666665","0.5557533840428579","0.4304932735426009","0.016129032258064516","32","5","false","COL3A1","2.09375","0","32","1","1","1","0","0.9586588541666666","false","0","COL3A1","8612","0.058423913043478264"
"11","3.3125","0.0","0.3018867924528302","0.0","1","6","false","PTPN18","32.0","0","1","0","0","0","0","0.927734375","false","0","PTPN18","0","0.0"
"2","7.618357487922705","0.0","0.13126188966391883","0.0","1","11","false","POLB","6.0","0","1","0","0","0","0","0.7994437124871908","false","0","POLB","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","COL1A1","0.0","0","0","1","1","1","0","Infinity","false","0","COL1A1","0","0.0"
