"EdgeBetweenness","Host_organism_taxid","interaction","irefindex_check","mean_prob_aff","method","name","numParticipants","OP_A","OP_B","OP_check","Predicted Classes","Probability Score","Regression Value","score_norm","selected","shared interaction","shared name","stringdb_check","uidA","uidA_irefindex","uidB","uidB_irefindex"
"40.0","","interacts with","0","0.559198996","","CYB5R1 (interacts with) KCNA5",,"0","0","0","1","0.717073171","0.401324821",,"false","interacts with","CYB5R1 (interacts with) KCNA5","0","Q9UHQ9","","P22460",""
"3.0","","interacts with","0","0.476387142","","SRRM2 (interacts with) IMMT",,"0","0","0","1","0.551219512","0.401554771",,"false","interacts with","SRRM2 (interacts with) IMMT","0","Q9UQ35","","Q16891",""
"3.0","","interacts with","0","0.469070177","","RAMAC (interacts with) RPL3",,"0","0","0","1","0.536585366","0.401554988",,"false","interacts with","RAMAC (interacts with) RPL3","0","Q9BTL3","","P39023",""
"2.0","","interacts with","0","0.461816136","","TPR (interacts with) BMP7",,"0","1","1","1","0.52195122","0.401681052",,"false","interacts with","TPR (interacts with) BMP7","0","P12270","","P18075",""
"0.0","","interacts with","0","0.568118692","","PGR (interacts with) PGR",,"1","1","1","1","0.726829268","0.409408115",,"false","interacts with","PGR (interacts with) PGR","0","P06401","","P06401",""
"343.66666666666663","","interacts with","0","0.46177701","","PRSS8 (interacts with) RIN3",,"0","0","0","1","0.52195122","0.401602801",,"false","interacts with","PRSS8 (interacts with) RIN3","0","Q16651","","Q8TB24",""
"4.666666666666666","","interacts with","0","0.464192002","","SF3A1 (interacts with) HOXD13",,"0","0","0","1","0.526829268","0.401554736",,"false","interacts with","SF3A1 (interacts with) HOXD13","0","Q15459","","P35453",""
"22.0","","interacts with","0","0.476387088","","CENPL (interacts with) THNSL2",,"0","0","0","1","0.551219512","0.401554663",,"false","interacts with","CENPL (interacts with) THNSL2","0","Q8N0S6","","Q86YJ6",""
"22.0","","interacts with","0","0.461752951","","PSMA4 (interacts with) TRIB1",,"0","0","0","1","0.52195122","0.401554683",,"false","interacts with","PSMA4 (interacts with) TRIB1","0","P25789","","Q96RU8",""
"3.0","","interacts with","0","0.476387178","","DZIP1 (interacts with) SULT1C3",,"0","0","0","1","0.551219512","0.401554844",,"false","interacts with","DZIP1 (interacts with) SULT1C3","0","Q86YF9","","Q6IMI6",""
"76.0","","interacts with","0","0.461777098","","TPMT (interacts with) CCDC7",,"0","0","0","1","0.52195122","0.401602976",,"false","interacts with","TPMT (interacts with) CCDC7","0","P51580","","Q96M83",""
"66.0","","interacts with","0","0.561662261","","CYB5R1 (interacts with) TTYH1",,"0","0","0","1","0.72195122","0.401373303",,"false","interacts with","CYB5R1 (interacts with) TTYH1","0","Q9UHQ9","","Q9H313",""
"2.0","","interacts with","0","0.464255247","","PECAM1 (interacts with) COL5A3",,"0","1","1","1","0.526829268","0.401681227",,"false","interacts with","PECAM1 (interacts with) COL5A3","0","P16284","","P25940",""
