"__mcodeCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"10","3.8421052631578947","0.017830409356725148","0.2602739726027397","0.5333333333333333","8","8","false","MYC","5.5","0","7","1","1","1","0","0.7416267942583733","false","1","MYC","288","0.41025641025641024"
"25","4.476190476190476","0.002380952380952381","0.22340425531914893","0.0","2","7","false","PSMA4","2.0","0","2","0","0","0","0","0.42063492063492064","false","0","PSMA4","2","1.0"
,"0.0","0.0","0.0","0.0","0","0","true","CALCA","0.0","0","0","1","1","1","0","Infinity","false","0","CALCA","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","COL9A3","0.0","0","0",,"0","0","0","Infinity","false","0","COL9A3","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","XPNPEP2","0.0","0","0","0","0","0","0","Infinity","false","0","XPNPEP2","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","NOS3","0.0","0","0","1","1","1","0","Infinity","false","0","NOS3","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","IGLV1-51","0.0","0","0","0",,"0","0","Infinity","false","0","IGLV1-51","0","0.0"
"10","4.394736842105263","0.025614035087719297","0.22754491017964074","0.6666666666666666","4","7","false","SOST","4.0","0","4","1","1","1","0","0.6913875598086124","false","0","SOST","492","0.5"
"21","1.0","0.0","1.0","1.0","2","1","false","MYCN","2.0","0","2","1","1","1","0","1.0","false","0","MYCN","0","1.0"
,"0.0","0.0","0.0","0.0","0","0","true","TSR3","0.0","0","0",,"0","0","0","Infinity","false","0","TSR3","0","0.0"
"3","1.0","0.2222222222222222","1.0","0.5333333333333333","8","1","false","BMP7","3.6666666666666665","0","7","1","1","1","0","1.0","false","1","BMP7","14","0.6111111111111112"
,"0.0","0.0","0.0","0.0","0","0","true","FAM83C","0.0","0","0",,"0","0","0","Infinity","false","0","FAM83C","0","0.0"
"16","1.3333333333333333","0.0","0.75","1.0","4","2","false","RELA","3.0","0","3","1","1","1","0","0.888888888888889","false","1","RELA","0","1.0"
,"0.0","0.0","0.0","0.0","0","0","true","OR51A4","0.0","0","0","0","0","0","0","Infinity","false","0","OR51A4","0","0.0"
