Cluster,Size,Density,Internal weight,Boundary weight,Quality,P-value,Members
1,15,0.6095,64.00,45.00,NaN,0.000241942,"ZNF629 SNX33 DENND2A TRIP11 PGA4 ZNF638 CEP126 PSG11 PPWD1 PDE4B RNASEL LIG1 AKT1 CNTLN MIDEAS"
2,13,0.5128,40.00,42.00,NaN,0.00143412,"STARD3NL SAMD11 BMP2 CCDC7 ARMH4 TRGV5 TMEM61 IGHV7-81 RPUSD1 GOLGA6B APOBEC3A IZUMO1 IGHV1-45"
3,13,0.6154,48.00,47.00,NaN,0.00764941,"ZNF629 DENND2A TRIP11 PGA4 ZNF638 PCCA PSG11 PPWD1 PDE4B AKT1 PGA3 CNTLN MIDEAS"
4,5,0.7000,7.000,4.000,NaN,0.0111491,"GCGR PCARE IFNLR1 NTRK1 P2RX6"
5,15,0.6095,64.00,73.00,NaN,0.0129147,"IL16 BMP7 NXPH1 FAM184B ARHGAP28 SYT9 TC2N SULT1A1 SULT1A4 ASXL2 ATP2C2 PRKACA TPR ZMYM5 BTBD16"
6,11,0.6182,34.00,43.00,NaN,0.0179133,"ZNF358 PABPC1L2B SALL2 PRR5 TRBV10-3 POLR3GL SPP1 RAC3 LCN15 ANKRD22 CC2D1B"
7,8,0.6429,18.00,18.00,NaN,0.0183890,"ERCC4 TRIM36 PCDHGA11 KIAA1217 PRR14L ZFR2 CFAP221 PTGS2"
8,5,0.6000,6.000,4.000,NaN,0.0203045,"PCARE C1QL1 IFNLR1 NTRK1 P2RX6"
9,5,0.6000,6.000,4.000,NaN,0.0265867,"USP29 BMP2K TAOK3 ESR1 CNNM2"
10,8,0.6071,17.00,26.00,NaN,0.0277807,"TSPYL2 CTSK PWWP3A FANCI ARHGAP30 CASKIN2 QRICH2 EPM2AIP1"
11,10,0.6000,27.00,43.00,NaN,0.0284425,"STARD3NL SAMD11 BMP2 IGHV4-39 CCDC7 ARMH4 TRGV5 TPMT RPUSD1 APOBEC3A"
12,3,1.000,3.000,2.000,NaN,0.0296732,"SYNJ2 XPNPEP2 NOS3"
13,11,0.6182,34.00,47.00,NaN,0.0319557,"TSC22D2 ZNF358 PABPC1L2B GRAMD2B SALL2 PRR5 LACC1 TRBV10-3 SPP1 LCN15 CC2D1B"
14,13,0.6154,48.00,92.00,NaN,0.0570713,"MRE11 TP53 PSMF1 RNF168 DNAAF1 SHISA2 PKLR HLA-DRB3 C3orf84 SCN3B ATXN7L1 TRGV1 PLA2G2D"
15,14,0.6044,55.00,87.00,NaN,0.0574526,"MYCL RAMAC ZKSCAN4 CCDC150 ESCO1 TIMP4 MS4A14 HNF1B CFAP100 ZNF350 RAMACL EDDM3A TMF1 KCNA7"
16,8,0.6071,17.00,20.00,NaN,0.0603797,"DLGAP1 SPEM3 TTC39B ZC3H13 SRC COL4A4 ACOX3 DDIAS"
17,13,0.6154,48.00,84.00,NaN,0.0861179,"TBKBP1 IL16 BMP7 FAM184B SYT9 SULT1A1 SULT1A4 ACP5 ASXL2 ATP2C2 PRKACA TPR FAM83C"
18,8,0.6071,17.00,24.00,NaN,0.0913472,"DLGAP1 SPEM3 TTC39B ZC3H13 SRC RAD54B COL4A4 SAA1"
19,8,0.6429,18.00,25.00,NaN,0.0995574,"DLGAP1 SPEM3 TTC39B ZC3H13 SRC TTC7A COL4A4 N4BP2L2"
20,12,0.6212,41.00,70.00,NaN,0.111864,"TBKBP1 BMP7 FAM184B SYT9 SULT1A1 SULT1A4 ASXL2 SH3D19 ATP2C2 PRKACA TPR FAM83C"
21,9,0.6389,23.00,37.00,NaN,0.122534,"CDK5RAP2 TRIM37 TSPYL2 CTSK PWWP3A FANCI ARHGAP30 CASKIN2 QRICH2"
22,6,0.6000,9.000,13.00,NaN,0.124763,"CLUH PTGS1 TLR5 PAM MANEAL MAGI3"
23,6,0.6667,10.00,15.00,NaN,0.139785,"HMMR TPX2 CASP3 TOM1L1 MRTFB SEPTIN5"
24,8,0.6071,17.00,22.00,NaN,0.155601,"SEC23B FGD5 RPS6KC1 LIPK USP35 NHS VTN STON1"
25,7,0.6190,13.00,19.00,NaN,0.183423,"FGD5 LIPK USP35 NHS VTN STON1 THBS4"
26,11,0.6000,33.00,85.00,NaN,0.184395,"TP53 RNF168 DNAAF1 SHISA2 PKLR AKAP14 C3orf84 SCN3B B9D1 ATXN7L1 TRGV1"
27,9,0.6111,22.00,65.00,NaN,0.186248,"CTNNA3 KCNK18 ZCCHC8 ZDHHC14 SOBP ARMC2 ZNF485 TNFSF11 MIER2"
28,6,0.6000,9.000,15.00,NaN,0.202772,"CASP3 ZNF839 DMRTA2 WDR45B MRTFB SEPTIN5"
29,11,0.6000,33.00,61.00,NaN,0.204414,"BCL9 PROCR SMIM26 MYOCD DHRS13 RTL5 TRAV12-3 VGF ATXN7L2 SH3D21 SRRM5"
30,12,0.6061,40.00,77.00,NaN,0.216408,"MYCL ZKSCAN4 CCDC150 TIMP4 MS4A14 HNF1B CFAP100 ZNF350 FBXL18 EDDM3A TMF1 KCNA7"
31,5,0.6000,6.000,11.00,NaN,0.228198,"RUBCN DEGS2 SLITRK3 COL5A1 IL1RAPL2"
