Cluster,Size,Density,Internal weight,Boundary weight,Quality,P-value,Members
1,26,0.3415,111.0,44.00,NaN,7.36654e-08,"TBKBP1 IL16 BMP7 NXPH1 RIOX2 FAM184B ARHGAP28 TIGD4 NMUR1 SYT9 TC2N SULT1A1 SULT1A4 ACP5 SKI ASXL2 SH3D19 ATP2C2 PARP3 RIOK3 PRKACA TPR MFSD4A FAM83C ZMYM5 BTBD16"
2,29,0.3005,122.0,75.00,NaN,9.24253e-08,"MRE11 ZNF526 TMEM200C TP53 PSMF1 RNF168 DNAAF1 SHISA2 PKLR OR56A4 HLA-DRB3 AKAP14 C3orf84 SCN3B KIF22 RTF1 PIGP SOCS2 ATXN7L1 GTF2F1 TCP11L2 TRGV1 EFNA1 LYG1 FRZB MOB2 PLA2G2D NXPH3 FGF10"
3,24,0.3152,87.00,34.00,NaN,4.76255e-07,"FAM161B STARD3NL SAMD11 BMP2 IGHV4-39 CCDC7 ARMH4 TRGV5 TMEM61 IGHV7-81 TPMT RPUSD1 TRGV3 MEIS3P2 RRBP1 GOLGA6D PDCD6 GOLGA6B APOBEC3A IZUMO1 IGHV4-59 IGHV4-38-2 IGHV4-61 IGHV1-45"
4,26,0.3046,99.00,55.00,NaN,5.08727e-07,"BCL9 PROCR ZNF48 ZBTB22 PAK4 SMIM26 COBLL1 TMCO6 DDX52 MYOCD C10orf67 GTF2A1L SGCA DHRS13 RTL5 TRAV12-3 VGF ATXN7L2 TMEM41A ATMIN SH3D21 RBMX2 AKAP17A DSPP SRRM5 MED15"
5,30,0.3011,131.0,109.0,NaN,1.02562e-06,"MED1 SCAF4 SOCS5 COL3A1 MCAM SULT1E1 SMC1B TNMD OTUD5 AADACL4 GLYATL1 PDE7A IQCM TMPPE NFKB1 ELAC2 ZNF221 ZNF311 ZCCHC2 ZNF772 LRP2BP ARHGAP44 ERICH6 UEVLD GOT1L1 FLYWCH1 POPDC3 RUNDC3B HTR1E RUBCNL"
6,27,0.3362,118.0,78.00,NaN,1.26637e-06,"RABEP1 MYCL FOXP1 ZNF438 RAMAC ALDH18A1 REST ZKSCAN4 CCDC150 ESCO1 TIMP4 MS4A14 HNF1B CFAP100 ZNF350 FBXL18 ESCO2 GOLGA3 EFCAB13 STK3 TRAPPC14 RAMACL EDDM3A TMF1 KCNJ12 KCNA7 TRIT1"
7,33,0.3011,159.0,128.0,NaN,1.27472e-06,"NRG1 PHC2 PSMA4 MAGEB17 MAGEB6B TRAF6 MSI1 SAMD15 RASSF2 ELAVL3 OR52D1 PMS2 ZNF319 CC2D1A C17orf75 RAB24 OR7D2 FAM166C ZNF547 SNRNP48 MYC OR2A7 FILIP1 UCP3 TRIB1 METTL15P1 EFCAB9 GSTP1 OR51M1 OR12D2 OR4X1 ODF3 STAP1"
8,34,0.2923,164.0,129.0,NaN,1.77454e-06,"TRIM55 PHC2 PSMA4 MAGEB17 MAGEB6B TRAF6 SAMD15 RASSF2 PMS2 ZNF319 CC2D1A C17orf75 NVL EVX1 RAB24 OR7D2 GCA FAM166C ZNF547 SNRNP48 MYC CALB2 OR6C2 OR2A7 FILIP1 UCP3 TRIB1 METTL15P1 EFCAB9 GSTP1 OR51M1 OR12D2 OR4X1 ODF3"
9,37,0.3003,200.0,254.0,NaN,2.89732e-06,"UBA2 TRIM23 ST8SIA4 CEACAM21 DAPP1 SYPL1 CADM4 MYLK3 HDHD5 CALHM2 TRIM59 BOD1L1 BDP1 IL34 AICDA NKAIN1 THBD ZNF449 COL5A2 TRMT1 SLC25A30 NBPF6 TNFRSF11B AHRR ZFP57 NBPF4 CLDN12 KPNA6 OR2A5 BECN2 ZSCAN22 TBX10 CCNQ RABL6 ZDHHC11 NPY4R CYB5RL"
10,18,0.4967,76.00,38.00,NaN,5.98079e-06,"ZNF629 SNX33 DENND2A TRIP11 PGA4 ZNF638 CEP126 PCCA PSG11 KLHL40 PPWD1 PDE4B RNASEL LIG1 AKT1 PGA3 CNTLN MIDEAS"
11,29,0.3005,122.0,114.0,NaN,6.30458e-06,"MED1 COL3A1 MCAM SULT1E1 SMC1B TNMD OTUD5 GLYATL1 PDE7A CARD8 IQCM TMPPE RDH16 NFKB1 ELAC2 ZNF221 ZNF311 ZCCHC2 ZNF772 MCM8 LRP2BP ARHGAP44 ERICH6 ZNF565 FLYWCH1 POPDC3 HTR1E RUBCNL IRX2"
12,19,0.3450,59.00,30.00,NaN,3.22580e-05,"TSC22D2 ZNF358 PABPC1L2B GRAMD2B SALL2 PRR5 LACC1 GFY RFESD TRBV10-3 PPP1R8 GARIN2 POLR3GL SPP1 RAC3 IGLV8-61 LCN15 ANKRD22 CC2D1B"
