"__leidenCluster","__mclCluster","__mcodeCluster","Host_organism_taxid","interaction","irefindex_check","mean_prob_aff","method","name","numParticipants","OP_A","OP_B","OP_check","Predicted Classes","Probability Score","Regression Value","score_norm","selected","shared interaction","shared name","stringdb_check","uidA","uidA_irefindex","uidB","uidB_irefindex"
"1","1",,"","interacts with","0","0.476426321","","MYC (interacts with) PSMA4",,"1","0","1","1","0.551219512","0.40163313",,"false","interacts with","MYC (interacts with) PSMA4","0","P01106","","P25789",""
"1","1","1","","interacts with","0","0.476426425","","MYC (interacts with) OR51M1",,"1","0","1","1","0.551219512","0.401633338",,"false","interacts with","MYC (interacts with) OR51M1","0","P01106","","Q9H341",""
"1","1",,"","interacts with","0","0.464231186","","MYC (interacts with) ZNF319",,"1","0","1","1","0.526829268","0.401633103",,"false","interacts with","MYC (interacts with) ZNF319","0","P01106","","Q9P2F9",""
"1","1","1","","interacts with","0","0.47642628","","MYC (interacts with) TRIM55",,"1","0","1","1","0.551219512","0.401633048",,"false","interacts with","MYC (interacts with) TRIM55","0","P01106","","Q9BYV6",""
"1","1",,"","interacts with","0","0.476426266","","MYC (interacts with) UCP3",,"1","0","1","1","0.551219512","0.401633019",,"false","interacts with","MYC (interacts with) UCP3","0","P01106","","P55916",""
"1","1","1","","interacts with","0","0.476426247","","MYC (interacts with) RAB24",,"1","0","1","1","0.551219512","0.401632982",,"false","interacts with","MYC (interacts with) RAB24","0","P01106","","Q969Q5",""
"1","1","1","","interacts with","0","0.677821383","","MYC (interacts with) MYC",,"1","1","1","1","0.946341463","0.409301303",,"false","interacts with","MYC (interacts with) MYC","0","P01106","","P01106",""
"1","1","1","","interacts with","0","0.476426373","","MYC (interacts with) GSTP1",,"1","0","1","1","0.551219512","0.401633234",,"false","interacts with","MYC (interacts with) GSTP1","0","P01106","","P09211",""
"1","1",,"","interacts with","0","0.476426365","","MYC (interacts with) OR6C2",,"1","0","1","1","0.551219512","0.401633217",,"false","interacts with","MYC (interacts with) OR6C2","0","P01106","","Q9NZP2",""
"1","1",,"","interacts with","0","0.464231281","","MYC (interacts with) MITD1",,"1","0","1","1","0.526829268","0.401633293",,"false","interacts with","MYC (interacts with) MITD1","0","P01106","","Q8WV92",""
