,uidA,uidB,Predicted Classes,Probability Score,Regression Value,mean_prob_aff,stringdb_check,score_norm,uidA_irefindex,uidB_irefindex,method,Host_organism_taxid,numParticipants,irefindex_check,GeneA,GeneB,OP_A,OP_B,OP_check
3,Q9NRM2,P37275,1,0.5219512195121951,0.4016031629251749,0.461777191218685,0,,,,,,,0,ZNF277,ZEB1,0,0,0
12,Q9NRM2,Q9H3U1,1,0.526829268292683,0.4015549338937073,0.4641921010931951,0,,,,,,,0,ZNF277,UNC45A,0,0,0
17,Q15459,Q15642,1,0.7609756097560976,0.4012277685819648,0.5811016891690312,0,,,,,,,0,SF3A1,TRIP10,0,0,0
21,Q9NRM2,Q8NFC6,1,0.526829268292683,0.4016028718741609,0.4642160700834219,0,,,,,,,0,ZNF277,BOD1L1,0,0,0
23,Q9NRM2,Q8N2N9,1,0.526829268292683,0.4016029740321885,0.4642161211624357,0,,,,,,,0,ZNF277,ANKRD36B,0,0,0
30,Q15459,Q6P4F7,1,0.7609756097560976,0.4012277441028105,0.581101676929454,0,,,,,,,0,SF3A1,ARHGAP11A,0,0,0
31,Q15459,Q9UMS4,1,0.7609756097560976,0.4012270273228023,0.5811013185394499,0,,,,,,,0,SF3A1,PRPF19,0,0,0
37,Q15459,Q15022,1,0.7414634146341462,0.4010501929906827,0.5712568038124144,0,,,,,,,0,SF3A1,SUZ12,0,0,0
39,Q15459,Q13163,1,0.526829268292683,0.4015551165323037,0.4641921924124933,0,,,,,,,0,SF3A1,MAP2K5,0,0,0
90,Q9UK59,O43463,1,0.5219512195121951,0.401554904245462,0.4617530618788286,0,,,,,,,0,DBR1,SUV39H1,0,0,0
93,Q9UK59,Q9UKF6,1,0.5365853658536585,0.4015558847024956,0.469070625278077,0,,,,,,,0,DBR1,CPSF3,0,0,0
100,Q9UK59,Q86VH2,1,0.551219512195122,0.4015548412016125,0.4763871766983673,0,,,,,,,0,DBR1,KIF27,0,0,0
114,A6NM76,A6NKW6,1,0.5219512195121951,0.4015555816643502,0.4617534005882726,0,,,,,,,0,OR6C76,SHISAL2B,0,0,0
182,A6NM76,Q9C0I3,1,0.551219512195122,0.4015547371170139,0.4763871246560679,0,,,,,,,0,OR6C76,CCSER1,0,0,0
242,A6NM76,P52298,1,0.5219512195121951,0.4015555706532241,0.4617533950827096,0,,,,,,,0,OR6C76,NCBP2,0,0,0
356,A6NM76,Q9BSU3,1,0.5365853658536585,0.4015563573558624,0.4690708616047604,0,,,,,,,0,OR6C76,NAA11,0,0,0
404,Q15459,P32754,1,0.551219512195122,0.4015546909578443,0.4763871015764831,0,,,,,,,0,SF3A1,HPD,0,0,0
406,A6NM76,O43567,1,0.551219512195122,0.4015559929027006,0.4763877525489113,0,,,,,,,0,OR6C76,RNF13,0,0,0
495,A6NM76,Q96BR5,1,0.5219512195121951,0.4015565501780832,0.4617538848451392,0,,,,,,,0,OR6C76,COA7,0,0,0
549,A6NM76,Q5JRM2,1,0.5365853658536585,0.4015579874689001,0.4690716766612792,0,,,,,,,0,OR6C76,CXorf66,0,0,0
601,Q15459,Q9P2F5,1,0.5365853658536585,0.4015547724024636,0.469070069128061,0,,,,,,,0,SF3A1,STOX2,0,0,0
603,Q15459,Q99457,1,0.551219512195122,0.4015544687227069,0.4763869904589144,0,,,,,,,0,SF3A1,NAP1L3,0,0,0
608,P54136,Q96NI8,1,0.551219512195122,0.4015551527858758,0.4763873324904989,0,,,,,,,0,RARS1,ZNF570,0,0,0
629,P54136,Q9P0L2,1,0.551219512195122,0.4015551666652043,0.4763873394301631,0,,,,,,,0,RARS1,MARK1,0,0,0
687,P54136,P16284,1,0.5219512195121951,0.4015557571353646,0.4617534883237799,0,,,,,,,0,RARS1,PECAM1,0,0,0
733,Q15459,Q16222,1,0.551219512195122,0.401554821005883,0.4763871666005025,0,,,,,,,0,SF3A1,UAP1,0,0,0
742,P54136,Q9Y236,1,0.551219512195122,0.4015545476393293,0.4763870299172256,0,,,,,,,0,RARS1,OSGIN2,0,0,0
753,P54136,O15466,1,0.551219512195122,0.40155462725522,0.476387069725171,0,,,,,,,0,RARS1,ST8SIA5,0,0,0
761,P54136,Q8TB24,1,0.7853658536585365,0.401554757151414,0.5934603054049752,0,,,,,,,0,RARS1,RIN3,0,0,0
798,P54136,Q58F21,1,0.551219512195122,0.4015547880416673,0.4763871501183946,0,,,,,,,0,RARS1,BRDT,0,0,0
800,Q15459,Q13115,1,0.7268292682926829,0.4013062748666652,0.564067771579674,0,,,,,,,0,SF3A1,DUSP4,0,0,0
802,Q15459,Q96MK3,1,0.551219512195122,0.4015552061927181,0.47638735919392,0,,,,,,,0,SF3A1,FAM20A,0,0,0
816,P54136,Q9BR76,1,0.7853658536585365,0.4014155208399285,0.5933906872492325,0,,,,,,,0,RARS1,CORO1B,0,0,0
817,P54136,Q99496,1,0.7268292682926829,0.4013061915213406,0.5640677299070118,0,,,,,,,0,RARS1,RNF2,0,0,0
847,P54136,P50747,1,0.5219512195121951,0.4015551473024987,0.4617531834073469,0,,,,,,,0,RARS1,HLCS,0,0,0
856,P54136,P52737,1,0.526829268292683,0.4015558690009799,0.4641925686468314,0,,,,,,,0,RARS1,ZNF136,0,0,0
878,P54136,P40879,1,0.5365853658536585,0.4015548991461657,0.4690701324999121,0,,,,,,,0,RARS1,SLC26A3,0,0,0
890,P54136,P14923,1,0.5219512195121951,0.4015552415376041,0.4617532305248996,0,,,,,,,0,RARS1,JUP,0,0,0
966,P54136,Q8N6G5,1,0.526829268292683,0.4015546435827365,0.4641919559377097,0,,,,,,,0,RARS1,CSGALNACT2,0,0,0
994,Q15459,O00232,1,0.551219512195122,0.4015549824578037,0.4763872473264628,0,,,,,,,0,SF3A1,PSMD12,0,0,0
1008,P54136,P10515,1,0.775609756097561,0.4014077480814756,0.5885087520895183,0,,,,,,,0,RARS1,DLAT,0,0,0
1045,P54136,Q6XPS3,1,0.526829268292683,0.4015546867009503,0.4641919774968166,0,,,,,,,0,RARS1,TPTE2,0,0,0
1096,P54136,Q9BZQ8,1,0.551219512195122,0.4015546739701356,0.4763870930826288,0,,,,,,,0,RARS1,NIBAN1,0,0,0
1102,P54136,O95994,1,0.7268292682926829,0.4013062158509442,0.5640677420718135,0,,,,,,,0,RARS1,AGR2,0,0,0
1171,Q9BSW7,Q15642,1,0.526829268292683,0.401555057846159,0.464192163069421,0,,,,,,,0,SYT17,TRIP10,0,0,0
1176,Q15459,Q9NY27,1,0.7268292682926829,0.4013060715764326,0.5640676699345577,0,,,,,,,0,SF3A1,PPP4R2,0,0,0
1204,Q9BSW7,P48146,1,0.526829268292683,0.4015553606684391,0.464192314480561,0,,,,,,,0,SYT17,NPBWR2,0,0,0
1206,Q15459,Q99496,1,0.7268292682926829,0.4013062255906747,0.5640677469416788,0,,,,,,,0,SF3A1,RNF2,0,0,0
1210,Q15459,Q9NQI0,1,0.5219512195121951,0.4015548079961082,0.4617530137541517,0,,,,,,,0,SF3A1,DDX4,0,0,0
1240,Q9BSW7,Q9HB14,1,0.5219512195121951,0.4015547452308955,0.4617529823715453,0,,,,,,,0,SYT17,KCNK13,0,0,0
1246,Q9BSW7,Q8WVN8,1,0.5219512195121951,0.4015550413648641,0.4617531304385296,0,,,,,,,0,SYT17,UBE2Q2,0,0,0
1250,Q15459,Q16719,1,0.551219512195122,0.4015553336874907,0.4763874229413063,0,,,,,,,0,SF3A1,KYNU,0,0,0
