"EdgeBetweenness","Host_organism_taxid","interaction","irefindex_check","mean_prob_aff","method","name","numParticipants","OP_A","OP_B","OP_check","Predicted Classes","Probability Score","Regression Value","score_norm","selected","shared interaction","shared name","stringdb_check","uidA","uidA_irefindex","uidB","uidB_irefindex"
"108.0","","interacts with","0","0.56406929","","NOP9 (interacts with) FAM234A",,"0","0","0","1","0.726829268","0.401309311",,"false","interacts with","NOP9 (interacts with) FAM234A","0","Q86U38","","Q9H0X4",""
"128.0","","interacts with","0","0.464192036","","SYT17 (interacts with) AKR7A3",,"0","0","0","1","0.526829268","0.401554803",,"false","interacts with","SYT17 (interacts with) AKR7A3","0","Q9BSW7","","O95154",""
"0.0","","interacts with","0","0.568118692","","PGR (interacts with) PGR",,"1","1","1","1","0.726829268","0.409408115",,"false","interacts with","PGR (interacts with) PGR","0","P06401","","P06401",""
"40.0","","interacts with","0","0.564075309","","NOP9 (interacts with) TYROBP",,"0","0","0","1","0.726829268","0.401321351",,"false","interacts with","NOP9 (interacts with) TYROBP","0","Q86U38","","O43914",""
"37.74285714285714","","interacts with","0","0.464192002","","SF3A1 (interacts with) HOXD13",,"0","0","0","1","0.526829268","0.401554736",,"false","interacts with","SF3A1 (interacts with) HOXD13","0","Q15459","","P35453",""
"94.8865800865801","","interacts with","0","0.464255247","","PECAM1 (interacts with) COL5A3",,"0","1","1","1","0.526829268","0.401681227",,"false","interacts with","PECAM1 (interacts with) COL5A3","0","P16284","","P25940",""
"144.6666666666666","","interacts with","0","0.56407582","","KCNA5 (interacts with) C1orf43",,"0","0","0","1","0.726829268","0.401322371",,"false","interacts with","KCNA5 (interacts with) C1orf43","0","P22460","","Q9BWL3",""
"414.0","","interacts with","0","0.476426317","","TP53 (interacts with) TBC1D28",,"1","0","1","1","0.551219512","0.401633121",,"false","interacts with","TP53 (interacts with) TBC1D28","0","P04637","","Q2M2D7",""
"37.74285714285714","","interacts with","0","0.476387423","","SF3A1 (interacts with) KYNU",,"0","0","0","1","0.551219512","0.401555334",,"false","interacts with","SF3A1 (interacts with) KYNU","0","Q15459","","Q16719",""
"40.0","","interacts with","0","0.47642632","","CRTC3 (interacts with) PROCR",,"0","1","1","1","0.551219512","0.401633127",,"false","interacts with","CRTC3 (interacts with) PROCR","0","Q6UUV7","","Q9UNN8",""
"21.504761904761892","","interacts with","0","0.464192171","","HNF1B (interacts with) ESCO1",,"0","0","0","1","0.526829268","0.401555074",,"false","interacts with","HNF1B (interacts with) ESCO1","0","P35680","","Q5FWF5",""
"7.083333333333334","","interacts with","0","0.476387105","","HNF1B (interacts with) CCDC150",,"0","0","0","1","0.551219512","0.401554698",,"false","interacts with","HNF1B (interacts with) CCDC150","0","P35680","","Q8NCX0",""
"44.533333333333346","","interacts with","0","0.476426244","","COL1A2 (interacts with) UAP1",,"1","0","1","1","0.551219512","0.401632976",,"false","interacts with","COL1A2 (interacts with) UAP1","0","P08123","","Q16222",""
"128.0","","interacts with","0","0.464192283","","SYT17 (interacts with) CNMD",,"0","0","0","1","0.526829268","0.401555298",,"false","interacts with","SYT17 (interacts with) CNMD","0","Q9BSW7","","O75829",""
"128.0","","interacts with","0","0.476387145","","SYT17 (interacts with) FAAP100",,"0","0","0","1","0.551219512","0.401554779",,"false","interacts with","SYT17 (interacts with) FAAP100","0","Q9BSW7","","Q0VG06",""
"1060.0","","interacts with","0","0.461777113","","SMC1B (interacts with) CARD8",,"0","0","0","1","0.52195122","0.401603006",,"false","interacts with","SMC1B (interacts with) CARD8","0","Q8NDV3","","Q9Y2G2",""
"8.333333333333334","","interacts with","0","0.469070249","","HPD (interacts with) FAM20A",,"0","0","0","1","0.536585366","0.401555132",,"false","interacts with","HPD (interacts with) FAM20A","0","P32754","","Q96MK3",""
"414.0","","interacts with","0","0.476426328","","TP53 (interacts with) MOB2",,"1","0","1","1","0.551219512","0.401633143",,"false","interacts with","TP53 (interacts with) MOB2","0","P04637","","Q70IA6",""
"220.0","","interacts with","0","0.464216147","","SMC1B (interacts with) AADACL4",,"0","0","0","1","0.526829268","0.401603025",,"false","interacts with","SMC1B (interacts with) AADACL4","0","Q8NDV3","","Q5VUY2",""
"8.633333333333331","","interacts with","0","0.469070423","","HPD (interacts with) PSMD12",,"0","0","0","1","0.536585366","0.40155548",,"false","interacts with","HPD (interacts with) PSMD12","0","P32754","","O00232",""
"17.999999999999996","","interacts with","0","0.476426205","","CTSK (interacts with) CASKIN2",,"1","0","1","1","0.551219512","0.401632897",,"false","interacts with","CTSK (interacts with) CASKIN2","0","P43235","","Q8WXE0",""
"13.16666666666667","","interacts with","0","0.476387236","","HPD (interacts with) B4GALNT2",,"0","0","0","1","0.551219512","0.40155496",,"false","interacts with","HPD (interacts with) B4GALNT2","0","P32754","","Q8NHY0",""
"5.0","","interacts with","0","0.461753337","","TMEM41A (interacts with) AKAP17A",,"0","0","0","1","0.52195122","0.401555454",,"false","interacts with","TMEM41A (interacts with) AKAP17A","0","Q96HV5","","Q02040",""
"13.0","","interacts with","0","0.461753254","","HPD (interacts with) ZNF669",,"0","0","0","1","0.52195122","0.401555289",,"false","interacts with","HPD (interacts with) ZNF669","0","P32754","","Q96BR6",""
"21.309523809523807","","interacts with","0","0.476387362","","SF3A1 (interacts with) CAMK1G",,"0","0","0","1","0.551219512","0.401555213",,"false","interacts with","SF3A1 (interacts with) CAMK1G","0","Q15459","","Q96NX5",""
"7.499999999999999","","interacts with","0","0.476387028","","HPD (interacts with) OIT3",,"0","0","0","1","0.551219512","0.401554544",,"false","interacts with","HPD (interacts with) OIT3","0","P32754","","Q8WWZ8",""
"344.0","","interacts with","0","0.464192373","","SYT17 (interacts with) WNT7A",,"0","0","0","1","0.526829268","0.401555478",,"false","interacts with","SYT17 (interacts with) WNT7A","0","Q9BSW7","","O00755",""
"154.0","","interacts with","0","0.476426325","","SRC (interacts with) CHPF2",,"1","0","1","1","0.551219512","0.401633137",,"false","interacts with","SRC (interacts with) CHPF2","0","P12931","","Q9P2E5",""
"114.0","","interacts with","0","0.476388287","","SYT17 (interacts with) CLNK",,"0","0","0","1","0.551219512","0.401557062",,"false","interacts with","SYT17 (interacts with) CLNK","0","Q9BSW7","","Q7Z7G1",""
"307.33333333333337","","interacts with","0","0.476426341","","TNFSF11 (interacts with) ZNF185",,"1","0","1","1","0.551219512","0.401633169",,"false","interacts with","TNFSF11 (interacts with) ZNF185","0","O14788","","O15231",""
"61.3333333333333","","interacts with","0","0.464192204","","KCNA5 (interacts with) DCDC2C",,"0","0","0","1","0.526829268","0.40155514",,"false","interacts with","KCNA5 (interacts with) DCDC2C","0","P22460","","A8MYV0",""
"128.0","","interacts with","0","0.476387372","","SYT17 (interacts with) MSTN",,"0","0","0","1","0.551219512","0.401555231",,"false","interacts with","SYT17 (interacts with) MSTN","0","Q9BSW7","","O14793",""
"138.0","","interacts with","0","0.461628885","","KCNA5 (interacts with) KRTAP9-2",,"0","0","0","1","0.52195122","0.401306551",,"false","interacts with","KCNA5 (interacts with) KRTAP9-2","0","P22460","","Q9BYQ4",""
"128.0","","interacts with","0","0.476387302","","SYT17 (interacts with) CFHR2",,"0","0","0","1","0.551219512","0.401555093",,"false","interacts with","SYT17 (interacts with) CFHR2","0","Q9BSW7","","P36980",""
"24.0","","interacts with","0","0.464231234","","CYB5A (interacts with) MYCN",,"0","1","1","1","0.526829268","0.401633199",,"false","interacts with","CYB5A (interacts with) MYCN","0","P00167","","P04198",""
"23.33333333333333","","interacts with","0","0.476387057","","HPD (interacts with) STOX2",,"0","0","0","1","0.551219512","0.401554601",,"false","interacts with","HPD (interacts with) STOX2","0","P32754","","Q9P2F5",""
"21.942857142857136","","interacts with","0","0.476426372","","SF3A1 (interacts with) SLC25A3",,"0","0","0","1","0.551219512","0.401633231",,"false","interacts with","SF3A1 (interacts with) SLC25A3","0","Q15459","","Q00325",""
"6.699999999999999","","interacts with","0","0.47638701","","HPD (interacts with) UAP1",,"0","0","0","1","0.551219512","0.401554507",,"false","interacts with","HPD (interacts with) UAP1","0","P32754","","Q16222",""
"220.0","","interacts with","0","0.476426326","","OR13C8 (interacts with) TRAF6",,"0","1","1","1","0.551219512","0.401633139",,"false","interacts with","OR13C8 (interacts with) TRAF6","0","Q8NGS7","","Q9Y4K3",""
"128.0","","interacts with","0","0.47638755","","SYT17 (interacts with) OR2J1",,"0","0","0","1","0.551219512","0.401555589",,"false","interacts with","SYT17 (interacts with) OR2J1","0","Q9BSW7","","Q9GZK6",""
"138.0","","interacts with","0","0.561492684","","TRNT1 (interacts with) TBCE",,"0","0","0","1","0.72195122","0.401034148",,"false","interacts with","TRNT1 (interacts with) TBCE","0","Q96Q11","","Q15813",""
"128.0","","interacts with","0","0.464192079","","SYT17 (interacts with) DOK5",,"0","0","0","1","0.526829268","0.401554889",,"false","interacts with","SYT17 (interacts with) DOK5","0","Q9BSW7","","Q9P104",""
"149.3333333333333","","interacts with","0","0.47642619","","VTN (interacts with) RPS6KC1",,"1","0","1","1","0.551219512","0.401632868",,"false","interacts with","VTN (interacts with) RPS6KC1","0","P04004","","Q96S38",""
"1194.8333333333333","","interacts with","0","0.464192162","","SYT17 (interacts with) SLC25A4",,"0","0","0","1","0.526829268","0.401555056",,"false","interacts with","SYT17 (interacts with) SLC25A4","0","Q9BSW7","","P12235",""
"272.0","","interacts with","0","0.564067879","","LRRC8E (interacts with) TTYH1",,"0","0","0","1","0.726829268","0.401306489",,"false","interacts with","LRRC8E (interacts with) TTYH1","0","Q6NSJ5","","Q9H313",""
"4.8","","interacts with","0","0.476387168","","CASKIN2 (interacts with) TSPYL2",,"0","0","0","1","0.551219512","0.401554824",,"false","interacts with","CASKIN2 (interacts with) TSPYL2","0","Q8WXE0","","Q9H2G4",""
"3002.9770904534053","","interacts with","0","0.476387109","","TAPT1 (interacts with) BDP1",,"0","0","0","1","0.551219512","0.401554706",,"false","interacts with","TAPT1 (interacts with) BDP1","0","Q6NXT6","","A6H8Y1",""
"6.133333333333333","","interacts with","0","0.476387083","","CASKIN2 (interacts with) PWWP3A",,"0","0","0","1","0.551219512","0.401554653",,"false","interacts with","CASKIN2 (interacts with) PWWP3A","0","Q8WXE0","","Q2TAK8",""
"20.70952380952381","","interacts with","0","0.476426464","","SF3A1 (interacts with) GPR141",,"0","0","0","1","0.551219512","0.401633415",,"false","interacts with","SF3A1 (interacts with) GPR141","0","Q15459","","Q7Z602",""
"40.0","","interacts with","0","0.464231192","","DHRS13 (interacts with) PROCR",,"0","1","1","1","0.526829268","0.401633116",,"false","interacts with","DHRS13 (interacts with) PROCR","0","Q6UX07","","Q9UNN8",""
"10.0","","interacts with","0","0.476387129","","P2RX6 (interacts with) PCARE",,"0","0","0","1","0.551219512","0.401554746",,"false","interacts with","P2RX6 (interacts with) PCARE","0","O15547","","A6NGG8",""
"488.0","","interacts with","0","0.476387402","","SYT17 (interacts with) ST6GALNAC6",,"0","0","0","1","0.551219512","0.401555291",,"false","interacts with","SYT17 (interacts with) ST6GALNAC6","0","Q9BSW7","","Q969X2",""
"14.666666666666664","","interacts with","0","0.476387102","","HPD (interacts with) GTF2H1",,"0","0","0","1","0.551219512","0.401554691",,"false","interacts with","HPD (interacts with) GTF2H1","0","P32754","","P32780",""
"969.8333333333333","","interacts with","0","0.476387286","","SYT17 (interacts with) MPPED2",,"0","0","0","1","0.551219512","0.40155506",,"false","interacts with","SYT17 (interacts with) MPPED2","0","Q9BSW7","","Q15777",""
"9.0","","interacts with","0","0.464192607","","HPD (interacts with) MKRN4P",,"0","0","0","1","0.526829268","0.401555946",,"false","interacts with","HPD (interacts with) MKRN4P","0","P32754","","Q13434",""
"128.0","","interacts with","0","0.464192111","","SYT17 (interacts with) NDUFAF6",,"0","0","0","1","0.526829268","0.401554954",,"false","interacts with","SYT17 (interacts with) NDUFAF6","0","Q9BSW7","","Q330K2",""
"3.6666666666666665","","interacts with","0","0.464192226","","NBPF6 (interacts with) CALHM2",,"0","0","0","1","0.526829268","0.401555183",,"false","interacts with","NBPF6 (interacts with) CALHM2","0","Q5VWK0","","Q9HA72",""
"128.0","","interacts with","0","0.566514236","","SYT17 (interacts with) GOLGA6A",,"0","0","0","1","0.731707317","0.401321155",,"false","interacts with","SYT17 (interacts with) GOLGA6A","0","Q9BSW7","","Q9NYA3",""
"15.0","","interacts with","0","0.591022336","","DAZAP2 (interacts with) KRTAP8-1",,"0","0","0","1","0.780487805","0.401556868",,"false","interacts with","DAZAP2 (interacts with) KRTAP8-1","0","Q15038","","Q8IUC2",""
"192.0","","interacts with","0","0.476426232","","COL3A1 (interacts with) RUNDC3B",,"1","0","1","1","0.551219512","0.401632951",,"false","interacts with","COL3A1 (interacts with) RUNDC3B","0","P02461","","Q96NL0",""
"10.299999999999999","","interacts with","0","0.476387147","","HPD (interacts with) PDZD4",,"0","0","0","1","0.551219512","0.401554782",,"false","interacts with","HPD (interacts with) PDZD4","0","P32754","","Q76G19",""
"28.833788433788428","","interacts with","0","0.476387182","","OR51M1 (interacts with) NVL",,"0","0","0","1","0.551219512","0.401554851",,"false","interacts with","OR51M1 (interacts with) NVL","0","Q9H341","","O15381",""
"38.0","","interacts with","0","0.476426296","","PGR (interacts with) ZNF582",,"1","0","1","1","0.551219512","0.40163308",,"false","interacts with","PGR (interacts with) ZNF582","0","P06401","","Q96NG8",""
"22.37619047619047","","interacts with","0","0.476387195","","SF3A1 (interacts with) PPP2CA",,"0","0","0","1","0.551219512","0.401554878",,"false","interacts with","SF3A1 (interacts with) PPP2CA","0","Q15459","","P67775",""
"19.27619047619047","","interacts with","0","0.476387313","","SF3A1 (interacts with) OR9A1P",,"0","0","0","1","0.551219512","0.401555114",,"false","interacts with","SF3A1 (interacts with) OR9A1P","0","Q15459","","Q8NGU1",""
"414.0","","interacts with","0","0.476426218","","COL5A3 (interacts with) SLC2A11",,"1","0","1","1","0.551219512","0.401632924",,"false","interacts with","COL5A3 (interacts with) SLC2A11","0","P25940","","Q9BYW1",""
"128.0","","interacts with","0","0.561663162","","ST6GALNAC6 (interacts with) CPA4",,"0","0","0","1","0.72195122","0.401375105",,"false","interacts with","ST6GALNAC6 (interacts with) CPA4","0","Q969X2","","Q9UI42",""
