,uidA,uidB,Predicted Classes,Probability Score,Regression Value,mean_prob_aff,stringdb_check,score_norm,uidA_irefindex,uidB_irefindex,method,Host_organism_taxid,numParticipants,irefindex_check,GeneA,GeneB,OP_A,OP_B,OP_check
257,P01106,P25789,1,0.551219512195122,0.4016331300632494,0.4764263211291857,0,,,,,,,0,MYC,PSMA4,1,0,1
533,P01258,Q14050,1,0.551219512195122,0.4016329893778305,0.4764262507864762,0,,,,,,,0,CALCA,COL9A3,1,0,1
1886,O43895,P29474,1,0.551219512195122,0.4016329589059468,0.4764262355505344,0,,,,,,,0,XPNPEP2,NOS3,0,1,1
2164,P01701,Q9BQB4,1,0.5219512195121951,0.4016331121386685,0.4617921658254318,0,,,,,,,0,IGLV1-51,SOST,0,1,1
2311,P04198,Q9UJK0,1,0.551219512195122,0.4016330904085191,0.4764263013018205,0,,,,,,,0,MYCN,TSR3,1,0,1
2348,P18075,Q9BQN1,1,0.551219512195122,0.4016329285654308,0.4764262203802764,0,,,,,,,0,BMP7,FAM83C,1,0,1
2621,Q04206,Q8NGJ6,1,0.551219512195122,0.4016329690607008,0.4764262406279114,0,,,,,,,0,RELA,OR51A4,1,0,1
2924,P31749,Q2TBA0,1,0.526829268292683,0.4016332700097766,0.4642312691512298,0,,,,,,,0,AKT1,KLHL40,1,0,1
3642,P02461,Q99952,1,0.551219512195122,0.4016330076602519,0.4764262599276869,0,,,,,,,0,COL3A1,PTPN18,1,0,1
3996,P06746,Q04206,1,0.526829268292683,0.4016331675058083,0.4642312178992456,0,,,,,,,0,POLB,RELA,0,1,1
4630,P02452,Q8WVV4,1,0.5219512195121951,0.4016812393603132,0.4618162294362541,0,,,,,,,0,COL1A1,POF1B,1,0,1
5027,P12429,Q9Y4K3,1,0.551219512195122,0.4016330907036328,0.4764263014493773,0,,,,,,,0,ANXA3,TRAF6,0,1,1
5155,P08123,Q99457,1,0.551219512195122,0.4016330511354498,0.4764262816652859,0,,,,,,,0,COL1A2,NAP1L3,1,0,1
5455,A0A3B3IU46,P12524,1,0.526829268292683,0.4016330974291985,0.4642311828609407,0,,,,,,,0,RAMACL,MYCL,0,1,1
5522,O15520,P04637,1,0.551219512195122,0.4016331235334595,0.4764263178642907,0,,,,,,,0,FGF10,TP53,0,1,1
6390,P35226,Q04206,1,0.551219512195122,0.4016329318092747,0.4764262220021983,1,0.1130742049469964,,,,,,0,BMI1,RELA,0,1,1
